id,x,y
1,2560.1666666666665,726.0
2,2420.1666666666665,733.0
3,2142.6249999999995,747.5
4,1983.1666666666665,762.0
5,970.625,849.5833333333333
6,696.7916666666665,885.0
7,534.2916666666665,924.5833333333333
8,453.95833333333326,930.8333333333333
9,375.95833333333314,920.4166666666666
10,346.7916666666665,935.0
11,290.5416666666665,939.1666666666666
12,261.3749999999998,928.75
13,223.87499999999977,935.0
14,107.20833333333314,920.4166666666666
15,1.166666666666515,914.0
16,1.166666666666515,1919.0
17,2560.1666666666665,1919.0
