t_m,z_m
-393.1681479393957,1.911096
-67.93129821932023,1.9751040000000002
-64.75876694665632,1.9751040000000002
-61.7907945169065,0.505968
-59.778524029608995,0.505968
-57.74624354139496,0.505968
-54.680691905332544,1.911096
-50.93732948297995,1.0789920000000002
-44.21178320664378,1.0789920000000002
-41.31054774745135,1.0789920000000002
-38.590776280138144,1.0789920000000002
-36.222626076386035,1.001268
-33.93405728683866,0.923544
-30.821650037177974,1.511808
-24.134138571193503,1.8440400000000001
-17.861861633924605,1.511808
-15.247704551263205,1.511808
-13.228111862524603,1.511808
-11.227447666193278,1.426464
-8.539566814203768,1.511808
-5.758024276742699,1.8105120000000001
-1.5548639240290267,1.8105120000000001
3.5876415726583115,1.987296
7.2417508768184735,1.987296
8.79088373147397,1.987296
11.865391644152696,1.987296
14.937084088820274,1.999488
16.573172520577742,2.051304
19.764773353323882,1.999488
22.973679195367488,1.999488
