final_plot_group,variance_window_position,variance_target_coordinate,plot_path,n,excluded_n,pearson_r,spearman_r,slope,intercept,r_squared
onshore,coordinate,700.0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\final_correlation_outputs\seabright_x700_updated_baseline_quality_filtered\onshore_sea_state_vs_shoreline_variance.png,18.0,1.0,0.1895390375084513,0.3376355638380256,10.637555524567677,1075.862165045612,0.03592504673963037
offshore,coordinate,700.0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\final_correlation_outputs\seabright_x700_updated_baseline_quality_filtered\offshore_sea_state_vs_shoreline_variance.png,13.0,0.0,0.6593041262702969,0.3736263736263736,47.86779925199863,115.18284812352871,0.43468193091703966
