direction_group,1,2,3,4,5,6,7,8,9,10
south_easterly_onshore,1,1,1,0,0,0,0,0,0,0
south_westerly_onshore,651,651,651,651,651,651,651,651,651,651
offshore,178,178,177,178,177,178,177,178,177,178
