x,median,q1,q3,whisker_low,whisker_high,iqr,std,count
266.40000000000003,-397.59999999999997,-558.750000000001,-331.0,-900.3750000000025,-282.59999999999997,227.75000000000102,165.4433727110433,307
267.12865731462927,-393.96553106212605,-585.1104780990559,-330.62134268537073,-932.3567134268537,-281.87134268537073,254.48913541368512,168.84567416876368,308
267.85731462925855,-397.0,-582.1786573146293,-329.89268537074145,-928.7134268537072,-281.14268537074145,252.28597194388783,169.10642779702633,308
268.5859719438878,-400.53627254508945,-603.6972945891794,-329.31052104208413,-926.0701402805611,-280.4140280561122,274.38677354709523,174.64338865582374,308
269.3146292585171,-403.0,-590.5561122244488,-329.92134268537075,-925.7414829659317,-279.6853707414829,260.6347695390781,171.61263203884164,308
270.0432865731463,-394.9567134268537,-582.0,-327.9567134268537,-922.0865731462926,-278.9567134268537,254.0432865731463,170.91685301478233,309
270.7719438877756,-399.2280561122244,-582.0,-328.0,-923.5438877755512,-278.2280561122244,254.0,169.24321538100656,309
271.5006012024048,-393.4993987975952,-545.9302605210405,-327.7496993987976,-873.2011022044048,-277.4993987975952,218.18056112224292,165.8595770720503,311
272.2292585170341,-386.3853707414829,-573.8819639278491,-326.7707414829659,-929.7707414829658,-276.7707414829659,247.11122244488325,170.28646352939518,312
272.95791583166334,-386.02104208416836,-564.7915831663362,-326.04208416833666,-922.9158316633354,-276.04208416833666,238.74949899799952,169.58509199395758,312
273.68657314629263,-387.5813627254454,-539.9365731462926,-326.5484969939879,-860.0186873747498,-275.31342685370737,213.38807615230473,169.58178147539127,312
274.41523046092186,-386.29238476953907,-575.6219438877755,-325.48096192384764,-931.8304609218437,-274.58476953907814,250.14098196392786,166.34920175843897,312
275.14388777555115,-384.85611222444885,-543.6180360721332,-324.85611222444885,-871.7609218436598,-272.85611222444885,218.7619238476844,165.32850981256976,313
275.8725450901804,-379.31342685370896,-525.0,-324.1274549098196,-826.3088176352705,-272.1274549098196,200.87254509018038,163.46699641048306,313
276.60120240480967,-398.0,-571.0170340681452,-324.0,-932.3987975951903,-271.39879759519033,247.01703406814522,171.9853623132969,315
277.3298597194389,-389.33507014028055,-557.8616232464988,-323.9175350701403,-908.7777555110365,-271.0,233.9440881763585,168.7477156377712,316
278.0585170340682,-382.9707414829659,-557.6316633266534,-323.53046092185355,-908.7834669338533,-271.0,234.1012024047999,172.29666082872038,316
278.7871743486974,-395.57434869739484,-594.0347595190395,-323.94679358717434,-933.0,-271.0,270.0879659318652,172.2488378102995,316
279.5158316633267,-388.4841683366733,-572.6424849699404,-323.0,-920.4208416833665,-271.0,249.64248496994037,168.16999526861497,317
