u,median_observed,median_pointwise,lower_central50,upper_central50,hit_frac
0.0,417.8498267472786,419.71106740159075,416.2679132088266,426.81368552059973,0.912568306010929
0.002506265664160401,417.66164827277476,419.20675753171827,416.0595734565396,426.2962470571703,0.9617486338797814
0.005012531328320802,417.4969404360045,418.7685903758701,415.8674887661026,425.7313945434305,0.9672131147540983
0.007518796992481203,417.336474263192,418.34946462156495,415.6754041493909,425.1453033624185,0.9726775956284153
0.010025062656641603,417.15501022367386,417.97465531768614,415.53738800299874,424.5764183417441,0.9890710382513661
0.012531328320802004,416.9420231622007,417.7043907651477,415.1470218714177,424.0288525613513,0.994535519125683
0.015037593984962405,416.72974819284156,417.3821212450142,414.6469451548737,423.4879579031776,0.994535519125683
0.017543859649122806,416.51958428887815,417.2961421030685,414.1625087026641,422.9805058698014,0.994535519125683
0.020050125313283207,416.3094203042701,417.36510459231675,413.70515345687244,422.51571599263815,0.994535519125683
0.022556390977443608,416.2430324591726,417.59841520565357,413.3298628177896,422.10999608212,1.0
0.02506265664160401,416.184442772383,417.5844930877447,413.01882835577106,421.72240948362213,1.0
0.02756892230576441,416.1469678395318,417.45680441018345,412.6378807794011,421.3293796647659,1.0
0.03007518796992481,416.14439283733384,417.3603292360823,412.2107822492741,420.94209562067897,1.0
0.03258145363408521,416.1418178342627,417.1922407331879,412.0167593982917,420.6417442359322,1.0
0.03508771929824561,416.1452581913093,417.06623509509063,411.9463237427248,420.3413929668251,1.0
0.03759398496240601,416.1510105616962,416.85616819636874,411.89861415194946,419.99799241699986,1.0
0.040100250626566414,416.157821751182,416.7107029760345,411.88512375925205,419.8391825372637,1.0
0.042606516290726815,416.1791086803606,416.62578947694055,411.81190318753426,419.781878337828,1.0
0.045112781954887216,416.200395601597,416.541115515588,411.76114607204306,419.7402523659872,1.0
0.047619047619047616,416.19889702922717,416.5151278791656,411.72040187887694,419.7022537449065,1.0
0.05012531328320802,416.165096843994,416.4347729286116,411.6815446256825,419.6465504808967,1.0
0.05263157894736842,416.13129664594516,416.32999963937345,411.6929834330434,419.50259162731453,1.0
0.05513784461152882,416.1151080542095,416.28923706517,411.7044222362526,419.35863282906485,1.0
0.05764411027568922,416.1046854955526,416.2660663362566,411.5059321055335,419.22554552439084,1.0
0.06015037593984962,416.09198241561995,416.1952494701394,411.37097208836104,419.0976087833309,1.0
0.06265664160401002,416.0545205888116,416.09284894015224,411.3594607020892,418.9723359630624,1.0
0.06516290726817042,416.01705877604337,416.01705877604337,411.35029131353843,418.86127044726595,1.0
0.06766917293233082,415.9463509120732,415.9463509120732,411.35648115344986,418.7502048705073,1.0
0.07017543859649122,415.83455855015285,415.82102309373687,411.3626709936979,418.63888611432907,1.0
0.07268170426065163,415.72276621255304,415.72276621255304,411.3692060793092,418.5274004103862,1.0
0.07518796992481203,415.61858576109324,415.6246871760756,411.376123526442,418.41634121817026,1.0
0.07769423558897243,415.5153783940335,415.5441673802073,411.38304097607966,418.3137312822041,1.0
0.08020050125313283,415.4137717317798,415.4202469147535,411.3899584283936,418.2111213069086,1.0
0.08270676691729323,415.3157125921323,415.3157125921323,411.3968758782462,418.1370520187925,1.0
0.08521303258145363,415.21765349000714,415.19809486098694,411.40997452494946,418.0936606432526,1.0
0.08771929824561403,415.1087814882583,415.0291731454194,411.44498055280735,418.0502692509177,1.0
0.09022556390977443,414.99583015988185,414.936035056036,411.3334432292948,417.9776558245937,1.0
0.09273182957393483,414.88427704661336,414.8433463490044,411.25061987637065,417.899286075929,1.0
0.09523809523809523,414.77965108779523,414.7601733737528,411.1753946814346,417.8130812356818,1.0
0.09774436090225563,414.67502508895114,414.61137731380506,411.10919331455875,417.70164592295913,1.0
0.10025062656641603,414.591158158992,414.4735518329661,411.0538464181887,417.59021056757837,1.0
0.10275689223057644,414.52127771339485,414.4777012872838,410.7902486400591,417.5199670280151,1.0
0.10526315789473684,414.4513972944454,414.3890093109002,410.61437312677225,417.4689011760734,1.0
0.10776942355889724,414.31223297448577,414.22283519113404,410.44543098724216,417.41711639506076,1.0
0.11027568922305764,414.171020572005,414.070847508047,410.39216138149396,417.35032135476746,1.0
0.11278195488721804,414.0259954003,413.97223769200525,410.33076048922317,417.2835263400908,1.0
0.11528822055137844,413.8768654571495,413.76848896455834,410.2928709240397,417.1945404851902,1.0
0.11779448621553884,413.7277655842798,413.65985907963784,410.2843403025829,417.0763972740851,1.0
0.12030075187969924,413.606801723407,413.6183138253995,410.2676852158353,416.95825410839427,1.0
0.12280701754385964,413.48583790841906,413.63289030427853,410.28024409168603,416.8789573844582,1.0
0.12531328320802004,413.2991808401199,413.6115003749899,410.3016151335844,416.80445291935706,1.0
0.12781954887218044,413.03553152891857,413.49972751876203,410.32655382624574,416.72585077646914,1.0
0.13032581453634084,412.7876595722233,413.3583429475936,410.35444942539357,416.63686478657957,1.0
0.13283208020050125,412.58201436712926,413.2195017113547,410.37822074692014,416.5478788305967,1.0
0.13533834586466165,412.3763690507496,413.144838340195,410.4042519631973,416.5372473405887,1.0
0.13784461152882205,412.1908969449197,413.0702658902709,410.43306610207577,416.53316460574365,1.0
0.14035087719298245,412.006744257333,413.0678215467922,410.4285630525116,416.5253948797874,1.0
0.14285714285714285,411.7829079929186,412.9507592472648,410.3909288388213,416.5176251566761,1.0
0.14536340852130325,411.52645401807854,412.9150254731198,410.3664946748581,416.53267026682363,1.0
0.14786967418546365,411.3438768635827,412.87836058817095,410.34313057967694,416.548043087808,1.0
0.15037593984962405,411.2862110507792,412.88755007700786,410.3214167239683,416.57381563272935,1.0
0.15288220551378445,411.2285452597686,412.9229505636079,410.30438058504245,416.62148230286317,1.0
0.15538847117794485,411.14579893341056,412.89156142371553,410.2873444395771,416.66914899114374,1.0
0.15789473684210525,411.05385843360705,412.95495273450354,410.267548797295,416.71681569776564,1.0
0.16040100250626566,410.9666420317048,412.9738580294585,410.2458617453678,416.7644823863819,1.0
0.16290726817042606,410.90920160795093,412.95808782369846,410.2241747015232,416.8114556718196,1.0
0.16541353383458646,410.851761162379,412.9164129194296,410.18695422732117,416.82125037861374,1.0
0.16791979949874686,410.8016216014555,412.84036189889866,410.11110482152156,416.831045089272,1.0
0.17042606516290726,410.758812112559,412.89996025647145,410.0352554442866,416.84022474152283,1.0
0.17293233082706766,410.7160026397823,412.8971885922621,409.9810258343822,416.84824613684395,1.0
0.17543859649122806,410.68471258493196,412.8894837703604,409.9596527270436,416.8562675382019,1.0
0.17794486215538846,410.65552102953416,412.8445364902395,409.93827962808444,416.8770165879321,1.0
0.18045112781954886,410.64203391873957,412.8402093397896,409.9290438353292,416.90390923264164,1.0
0.18295739348370926,410.6986936673286,412.8698357256926,409.92444839618423,416.9309976170501,1.0
0.18546365914786966,410.75535343720617,412.8594895327355,409.92017825576795,416.97525588981233,1.0
0.18796992481203006,410.8131902959209,412.8651889990353,409.92237960665193,417.01951414608493,1.0
0.19047619047619047,410.87195383384346,412.9092921629415,409.9245809563286,417.06107440742454,1.0
0.19298245614035087,410.9307173940657,412.95339534369515,409.91217896700874,417.09776520465977,1.0
0.19548872180451127,410.97730871171615,413.00321083490275,409.8751545272919,417.13445601585653,1.0
0.19799498746867167,411.0229469402996,412.99714100835916,409.8381300958431,417.1281688537111,1.0
0.20050125313283207,411.09694002588896,413.0053357520362,409.82882262011515,417.10349812825103,1.0
