feature_id,label,vertex_index,x,y,group_id,X_warped,Y_warped
1,shoreline,0,164.0,-428.0,,-13582375.905114772,4433934.127409503
1,shoreline,1,163.0,-429.0,,-13582373.512973014,4433932.296412379
1,shoreline,2,101.0,-429.0,,-13582428.100797083,4433924.850295164
1,shoreline,3,100.0,-430.0,,-13582425.7720023,4433923.065823482
1,shoreline,4,89.0,-430.0,,-13582435.170046862,4433921.6852272665
1,shoreline,5,88.0,-429.0,,-13582439.185980618,4433923.208045127
1,shoreline,6,86.0,-429.0,,-13582440.882753998,4433922.953477727
1,shoreline,7,85.0,-430.0,,-13582438.57017011,4433921.179312465
1,shoreline,8,39.0,-430.0,,-13582477.089886922,4433915.2293337295
1,shoreline,9,38.0,-431.0,,-13582474.831414659,4433913.4874348715
1,shoreline,10,19.0,-431.0,,-13582490.486596802,4433910.9771674005
1,shoreline,11,18.0,-432.0,,-13582488.25207081,4433909.248892499
1,shoreline,12,8.0,-432.0,,-13582496.444161361,4433907.919340007
1,shoreline,13,7.0,-433.0,,-13582494.223931998,4433906.199017566
1,shoreline,14,1229.0,-591.0,,-13581481.85159486,4433992.594985202
1,shoreline,15,1227.0,-591.0,,-13581482.076167613,4433991.7476507295
1,shoreline,16,1226.0,-590.0,,-13581483.786817055,4433992.353244729
1,shoreline,17,1224.0,-590.0,,-13581484.008744445,4433991.505617276
1,shoreline,18,1223.0,-589.0,,-13581485.719218697,4433992.112564423
1,shoreline,19,1218.0,-589.0,,-13581486.265388846,4433989.99246854
1,shoreline,20,1217.0,-588.0,,-13581487.973572008,4433990.600798803
1,shoreline,21,1216.0,-588.0,,-13581488.081241414,4433990.176628483
1,shoreline,22,1215.0,-587.0,,-13581489.790117748,4433990.786430112
1,shoreline,23,1212.0,-587.0,,-13581490.10933286,4433989.513680312
1,shoreline,24,1210.0,-585.0,,-13581493.527240686,4433990.737872593
1,shoreline,25,1209.0,-585.0,,-13581493.631708415,4433990.313590283
1,shoreline,26,1208.0,-584.0,,-13581495.342241846,4433990.928012145
1,shoreline,27,1206.0,-584.0,,-13581495.549014227,4433990.079422695
1,shoreline,28,1204.0,-582.0,,-13581498.972093152,4433991.313128977
1,shoreline,29,1203.0,-582.0,,-13581499.073755234,4433990.888893972
1,shoreline,30,1202.0,-581.0,,-13581500.787062049,4433991.50819116
1,shoreline,31,1196.0,-581.0,,-13581501.387779368,4433988.962770831
1,shoreline,32,1195.0,-580.0,,-13581503.098941263,4433989.584152711
1,shoreline,33,1191.0,-580.0,,-13581503.491925707,4433987.887304771
1,shoreline,34,1189.0,-578.0,,-13581506.91463154,4433989.135912388
1,shoreline,35,1188.0,-578.0,,-13581507.011067891,4433988.711906925
1,shoreline,36,1187.0,-577.0,,-13581508.724567614,4433989.338911531
1,shoreline,37,1185.0,-577.0,,-13581508.915572165,4433988.491162656
1,shoreline,38,1184.0,-576.0,,-13581510.629796408,4433989.120178983
1,shoreline,39,1183.0,-576.0,,-13581510.724385992,4433988.696455038
1,shoreline,40,1182.0,-575.0,,-13581512.439969439,4433989.327390265
1,shoreline,41,1181.0,-576.0,,-13581510.91289212,4433987.8490492925
1,shoreline,42,1178.0,-576.0,,-13581511.193993438,4433986.578069869
1,shoreline,43,1177.0,-577.0,,-13581509.670546412,4433985.100648356
1,shoreline,44,1176.0,-576.0,,-13581511.380308779,4433985.730855289
1,shoreline,45,1175.0,-576.0,,-13581511.473145986,4433985.307284463
1,shoreline,46,1174.0,-575.0,,-13581513.184375202,4433985.939496442
1,shoreline,47,1172.0,-575.0,,-13581513.36836024,4433985.09278785
1,shoreline,48,1171.0,-574.0,,-13581515.080593757,4433985.72722283
1,shoreline,49,1168.0,-574.0,,-13581515.353514818,4433984.457990575
1,shoreline,50,1167.0,-573.0,,-13581517.066344101,4433985.094910698
1,shoreline,51,1163.0,-573.0,,-13581517.425571071,4433983.404047927
1,shoreline,52,1162.0,-572.0,,-13581519.138655491,4433984.043771684
1,shoreline,53,1151.0,-572.0,,-13581520.106910465,4433979.401385956
1,shoreline,54,1150.0,-571.0,,-13581521.817450402,4433980.045895218
1,shoreline,55,1147.0,-571.0,,-13581522.076927938,4433978.78218483
1,shoreline,56,1146.0,-570.0,,-13581523.788682,4433979.4296422545
1,shoreline,57,1143.0,-570.0,,-13581524.045737866,4433978.167650098
1,shoreline,58,1142.0,-569.0,,-13581525.758853197,4433978.818157149
1,shoreline,59,1140.0,-569.0,,-13581525.928858224,4433977.977973187
1,shoreline,60,1139.0,-570.0,,-13581524.386667415,4433976.486412321
1,shoreline,61,1137.0,-570.0,,-13581524.556405071,4433975.646443418
1,shoreline,62,1136.0,-569.0,,-13581526.267449213,4433976.298936998
1,shoreline,63,1134.0,-569.0,,-13581526.436080767,4433975.460123305
1,shoreline,64,1133.0,-568.0,,-13581528.149109438,4433976.11553545
1,shoreline,65,1127.0,-568.0,,-13581528.650881944,4433973.6043980485
1,shoreline,66,1126.0,-567.0,,-13581530.36491163,4433974.26434802
1,shoreline,67,1120.0,-567.0,,-13581530.862367982,4433971.76085558
1,shoreline,68,1119.0,-568.0,,-13581529.315607421,4433970.264369998
1,shoreline,69,1118.0,-568.0,,-13581529.398426117,4433969.847582356
1,shoreline,70,1117.0,-569.0,,-13581527.855336787,4433968.352302728
1,shoreline,71,1116.0,-568.0,,-13581529.5639198,4433969.01451487
1,shoreline,72,1115.0,-568.0,,-13581529.646601817,4433968.598240706
1,shoreline,73,1114.0,-567.0,,-13581531.357897721,4433969.263294471
1,shoreline,74,1111.0,-567.0,,-13581531.605177155,4433968.016929227
1,shoreline,75,1110.0,-566.0,,-13581533.318924956,4433968.68580838
1,shoreline,76,1108.0,-566.0,,-13581533.483359627,4433967.856812817
1,shoreline,77,1107.0,-565.0,,-13581535.199868768,4433968.529131836
1,shoreline,78,1102.0,-565.0,,-13581535.610321317,4433966.462777599
1,shoreline,79,1101.0,-564.0,,-13581537.32943635,4433967.140182912
1,shoreline,80,1099.0,-564.0,,-13581537.493571846,4433966.316251461
1,shoreline,81,1098.0,-563.0,,-13581539.215781676,4433966.997299126
1,shoreline,82,1092.0,-563.0,,-13581539.708958846,4433964.534637134
1,shoreline,83,1091.0,-562.0,,-13581541.43435964,4433965.221734237
1,shoreline,84,1090.0,-562.0,,-13581541.516776698,4433964.812775387
1,shoreline,85,1089.0,-561.0,,-13581543.245618189,4433965.503128724
1,shoreline,86,1087.0,-561.0,,-13581543.41077214,4433964.687248701
1,shoreline,87,1086.0,-560.0,,-13581545.14318991,4433965.381523014
1,shoreline,88,1085.0,-560.0,,-13581545.225975735,4433964.974634864
1,shoreline,89,1084.0,-559.0,,-13581546.962012263,4433965.672255124
1,shoreline,90,1082.0,-559.0,,-13581547.128105965,4433964.860652585
1,shoreline,91,1081.0,-558.0,,-13581548.867955655,4433965.562319042
1,shoreline,92,1079.0,-558.0,,-13581549.034812076,4433964.753268736
1,shoreline,93,1078.0,-557.0,,-13581550.778611975,4433965.459054285
1,shoreline,94,1075.0,-557.0,,-13581551.030491872,4433964.249937657
1,shoreline,95,1074.0,-556.0,,-13581552.778573329,4433964.960625659
1,shoreline,96,1070.0,-556.0,,-13581553.117645875,4433963.356034744
1,shoreline,97,1069.0,-555.0,,-13581554.870472463,4433964.072488852
1,shoreline,98,1066.0,-555.0,,-13581555.127622591,4433962.875001386
1,shoreline,99,1065.0,-554.0,,-13581556.8852173,4433963.596626236
1,shoreline,100,1063.0,-554.0,,-13581557.058363253,4433962.801703744
1,shoreline,101,1062.0,-553.0,,-13581558.82061902,4433963.527823078
1,shoreline,102,1058.0,-553.0,,-13581559.171275165,4433961.945841174
1,shoreline,103,1057.0,-552.0,,-13581560.939094633,4433962.678170334
1,shoreline,104,1056.0,-552.0,,-13581561.027825398,4433962.284509591
1,shoreline,105,1055.0,-551.0,,-13581562.800260032,4433963.0206747055
1,shoreline,106,1052.0,-551.0,,-13581563.069514172,4433961.844758013
1,shoreline,107,1051.0,-550.0,,-13581564.847556934,4433962.586522374
1,shoreline,108,1049.0,-550.0,,-13581565.029593298,4433961.806492519
1,shoreline,109,1048.0,-549.0,,-13581566.812978836,4433962.553081938
1,shoreline,110,1045.0,-549.0,,-13581567.090166109,4433961.389108993
1,shoreline,111,1044.0,-548.0,,-13581568.87959894,4433962.141510118
1,shoreline,112,1041.0,-548.0,,-13581569.16182999,4433960.98451863
1,shoreline,113,1040.0,-547.0,,-13581570.957560118,4433961.742850621
1,shoreline,114,1036.0,-547.0,,-13581571.342011139,4433960.210837297
1,shoreline,115,1035.0,-546.0,,-13581573.144954922,4433960.976194762
1,shoreline,116,1032.0,-546.0,,-13581573.439919297,4433959.835467434
1,shoreline,117,1031.0,-545.0,,-13581575.249726456,4433960.607019306
1,shoreline,118,1029.0,-545.0,,-13581575.45016828,4433959.851184888
1,shoreline,119,1028.0,-544.0,,-13581577.266332522,4433960.628017909
1,shoreline,120,1026.0,-544.0,,-13581577.470302183,4433959.876414288
