feature_id,label,vertex_index,x,y,group_id,X_warped,Y_warped
1,shoreline,0,40.0,-420.0,,-13582507.27143227,4433931.542908172
1,shoreline,1,39.0,-421.0,,-13582504.97386404,4433929.78107047
1,shoreline,2,20.0,-421.0,,-13582520.361333312,4433927.139121385
1,shoreline,3,19.0,-422.0,,-13582518.089585258,4433925.391940065
1,shoreline,4,866.0,-730.0,,-13581346.02094237,4433717.9792731395
1,shoreline,5,867.0,-729.0,,-13581346.79185494,4433719.03083559
1,shoreline,6,867.0,-724.0,,-13581351.707226297,4433722.9130658815
1,shoreline,7,868.0,-723.0,,-13581352.509688104,4433723.989100128
1,shoreline,8,868.0,-721.0,,-13581354.51627576,4433725.57257725
1,shoreline,9,870.0,-719.0,,-13581356.160264077,4433727.7559889695
1,shoreline,10,870.0,-718.0,,-13581357.179792037,4433728.5596632855
1,shoreline,11,871.0,-717.0,,-13581358.016190223,4433729.663119416
1,shoreline,12,871.0,-716.0,,-13581359.04485001,4433730.473442611
1,shoreline,13,874.0,-713.0,,-13581361.605860751,4433733.825913231
1,shoreline,14,875.0,-713.0,,-13581361.424247712,4433734.130113078
1,shoreline,15,877.0,-711.0,,-13581363.165051486,4433736.394490185
1,shoreline,16,878.0,-711.0,,-13581362.987213962,4433736.703967795
1,shoreline,17,881.0,-708.0,,-13581365.6472712,4433740.142674168
1,shoreline,18,881.0,-707.0,,-13581366.718309496,4433740.982223192
1,shoreline,19,882.0,-706.0,,-13581367.621290186,4433742.141057576
1,shoreline,20,883.0,-706.0,,-13581367.449928654,4433742.458888678
1,shoreline,21,884.0,-705.0,,-13581368.359915,4433743.62392794
1,shoreline,22,885.0,-705.0,,-13581368.19071779,4433743.944899876
1,shoreline,23,888.0,-702.0,,-13581370.958329313,4433747.471489565
1,shoreline,24,888.0,-694.0,,-13581379.863070104,4433754.41287193
1,shoreline,25,887.0,-693.0,,-13581381.159033544,4433754.968889532
1,shoreline,26,887.0,-692.0,,-13581382.295211371,4433755.852614119
1,shoreline,27,886.0,-691.0,,-13581383.599976547,4433756.416026298
1,shoreline,28,885.0,-691.0,,-13581383.765172483,4433756.094240455
1,shoreline,29,884.0,-690.0,,-13581385.075364044,4433756.663504812
1,shoreline,30,882.0,-690.0,,-13581385.409654353,4433756.026994832
1,shoreline,31,881.0,-689.0,,-13581386.725937834,4433756.603444067
1,shoreline,32,879.0,-689.0,,-13581387.064948237,4433755.975271058
1,shoreline,33,878.0,-688.0,,-13581388.387302289,4433756.558746772
1,shoreline,34,876.0,-688.0,,-13581388.730981732,4433755.938767834
1,shoreline,35,875.0,-687.0,,-13581390.059377534,4433756.529101659
1,shoreline,36,872.0,-687.0,,-13581390.583032707,4433755.61317907
1,shoreline,37,871.0,-686.0,,-13581391.918042958,4433756.2114500785
1,shoreline,38,870.0,-686.0,,-13581392.094842244,4433755.910050845
1,shoreline,39,869.0,-685.0,,-13581393.435212165,4433756.513562889
1,shoreline,40,868.0,-685.0,,-13581393.613406714,4433756.214675251
1,shoreline,41,867.0,-684.0,,-13581394.959129643,4433756.823333559
1,shoreline,42,864.0,-684.0,,-13581395.500154663,4433755.9378054235
1,shoreline,43,863.0,-683.0,,-13581396.852328597,4433756.553737522
1,shoreline,44,859.0,-683.0,,-13581397.586519208,4433755.3947172845
1,shoreline,45,858.0,-682.0,,-13581398.945537768,4433756.018590237
1,shoreline,46,854.0,-682.0,,-13581399.693296473,4433754.882525068
1,shoreline,47,853.0,-681.0,,-13581401.058962429,4433755.513806807
1,shoreline,48,847.0,-681.0,,-13581402.20337813,4433753.848459921
1,shoreline,49,846.0,-680.0,,-13581403.57625371,4433754.4881239
1,shoreline,50,844.0,-680.0,,-13581403.963439561,4433753.942890541
1,shoreline,51,843.0,-679.0,,-13581405.341811297,4433754.587352238
1,shoreline,52,837.0,-679.0,,-13581406.518647429,4433752.978558966
1,shoreline,53,836.0,-678.0,,-13581407.903663406,4433753.629871337
1,shoreline,54,832.0,-678.0,,-13581408.699188106,4433752.576972297
1,shoreline,55,831.0,-677.0,,-13581410.090040063,4433753.233305386
1,shoreline,56,826.0,-677.0,,-13581411.09495722,4433751.936585648
1,shoreline,57,825.0,-676.0,,-13581412.491710747,4433752.5977226095
1,shoreline,58,822.0,-676.0,,-13581413.099456774,4433751.828765919
1,shoreline,59,821.0,-675.0,,-13581414.501658734,4433752.493627421
1,shoreline,60,818.0,-675.0,,-13581415.112531258,4433751.73066051
1,shoreline,61,817.0,-674.0,,-13581416.52018233,4433752.398960682
1,shoreline,62,812.0,-674.0,,-13581417.543740245,4433751.1381720435
