#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 02 01 56 999 99.0 99.0  1.37  4.55  4.14 339 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 02 02 26 999 99.0 99.0  1.47  5.00  4.23 339 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 02 02 56 999 99.0 99.0  1.55  5.00  4.32 343 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 02 03 26 999 99.0 99.0  1.64  5.00  4.33 341 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 02 03 56 999 99.0 99.0  1.70  5.00  4.50 341 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 04 26 999 99.0 99.0  1.66  5.56  4.51 341 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 02 04 56 999 99.0 99.0  1.80  5.56  4.74 343 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 05 26 999 99.0 99.0  1.80  5.88  4.71 348 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 05 56 999 99.0 99.0  1.74  5.56  4.61 346 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 06 26 999 99.0 99.0  1.70  5.88  4.50 355 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 06 56 999 99.0 99.0  1.62  5.88  4.43 353 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 07 26 999 99.0 99.0  1.52  5.88  4.25 359 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 07 56 999 99.0 99.0  1.57  5.88  4.32 357 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 08 26 999 99.0 99.0  1.61  5.88  4.35 357 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 08 56 999 99.0 99.0  1.72  5.56  4.47 348 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 09 26 999 99.0 99.0  1.61  5.56  4.27 355 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 09 56 999 99.0 99.0  1.76  5.26  4.30 343 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 10 26 999 99.0 99.0  1.90  5.56  4.52 353 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 10 56 999 99.0 99.0  1.90  5.56  4.60   0 9999.0 999.0  11.5 999.0 99.0 99.00
2024 01 02 11 26 999 99.0 99.0  2.02  5.88  4.63   2 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 11 56 999 99.0 99.0  2.45  6.25  5.07   7 9999.0 999.0  11.5 999.0 99.0 99.00
2024 01 02 12 26 999 99.0 99.0  2.34  6.25  5.03   2 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 12 56 999 99.0 99.0  2.65  7.14  5.48  10 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 13 26 999 99.0 99.0  2.69  7.14  5.42  14 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 13 56 999 99.0 99.0  2.72  7.69  5.60  16 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 14 26 999 99.0 99.0  2.71  7.14  5.65   9 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 14 56 999 99.0 99.0  2.69  7.69  5.69  28 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 15 26 999 99.0 99.0  2.64  7.14  5.66  10 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 15 56 999 99.0 99.0  2.62  7.69  5.64  26 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 16 26 999 99.0 99.0  2.38  7.69  5.41  13 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 16 56 999 99.0 99.0  2.54  7.69  5.64  24 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 17 26 999 99.0 99.0  2.55  7.69  5.50  24 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 17 56 999 99.0 99.0  2.59  8.33  5.45  33 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 18 26 999 99.0 99.0  2.60  7.69  5.68  21 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 18 56 999 99.0 99.0  2.65  8.33  5.68  34 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 19 26 999 99.0 99.0  2.43  8.33  5.79  30 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 19 56 999 99.0 99.0  2.43  8.33  5.57  31 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 20 26 999 99.0 99.0  2.38  8.33  5.67  27 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 20 56 999 99.0 99.0  2.22  7.69  5.61  28 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 21 26 999 99.0 99.0  2.09  8.33  5.54  34 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 21 56 999 99.0 99.0  2.12  8.33  5.55  35 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 22 26 999 99.0 99.0  2.11  7.69  5.67  34 9999.0 999.0  11.4 999.0 99.0 99.00
2024 01 02 22 56 999 99.0 99.0  1.87  8.33  5.64  34 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 23 26 999 99.0 99.0  1.80  7.69  5.36  28 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 02 23 56 999 99.0 99.0  1.91  7.14  5.56  34 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 00 26 999 99.0 99.0  1.93  7.14  5.64  28 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 00 56 999 99.0 99.0  1.88  7.69  5.62  41 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 01 26 999 99.0 99.0  1.67  7.69  5.40  40 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 01 56 999 99.0 99.0  1.74  7.14  5.71  38 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 02 26 999 99.0 99.0  1.73  7.69  5.68  38 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 02 56 999 99.0 99.0  1.67  7.69  5.70  42 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 03 26 999 99.0 99.0  1.66  7.14  5.78  35 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 03 56 999 99.0 99.0  1.54  7.69  5.87  44 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 04 26 999 99.0 99.0  1.50 10.53  5.66  51 9999.0 999.0  11.2 999.0 99.0 99.00
