feature_id,label,vertex_index,x,y,group_id
1,shoreline,0,634.0,-118.0,
1,shoreline,1,627.0,-118.0,
1,shoreline,2,626.0,-119.0,
1,shoreline,3,624.0,-119.0,
1,shoreline,4,621.0,-122.0,
1,shoreline,5,617.0,-122.0,
1,shoreline,6,616.0,-123.0,
1,shoreline,7,615.0,-123.0,
1,shoreline,8,613.0,-125.0,
1,shoreline,9,612.0,-125.0,
1,shoreline,10,611.0,-126.0,
1,shoreline,11,610.0,-126.0,
1,shoreline,12,609.0,-127.0,
1,shoreline,13,607.0,-127.0,
1,shoreline,14,606.0,-128.0,
1,shoreline,15,605.0,-128.0,
1,shoreline,16,604.0,-129.0,
1,shoreline,17,603.0,-129.0,
1,shoreline,18,602.0,-130.0,
1,shoreline,19,601.0,-130.0,
1,shoreline,20,600.0,-131.0,
1,shoreline,21,599.0,-131.0,
1,shoreline,22,597.0,-133.0,
1,shoreline,23,596.0,-133.0,
1,shoreline,24,595.0,-134.0,
1,shoreline,25,594.0,-134.0,
1,shoreline,26,592.0,-136.0,
1,shoreline,27,591.0,-136.0,
1,shoreline,28,590.0,-137.0,
1,shoreline,29,589.0,-137.0,
1,shoreline,30,588.0,-138.0,
1,shoreline,31,586.0,-138.0,
1,shoreline,32,585.0,-139.0,
1,shoreline,33,584.0,-139.0,
1,shoreline,34,583.0,-140.0,
1,shoreline,35,581.0,-140.0,
1,shoreline,36,580.0,-141.0,
1,shoreline,37,576.0,-141.0,
1,shoreline,38,575.0,-142.0,
1,shoreline,39,574.0,-142.0,
1,shoreline,40,573.0,-143.0,
1,shoreline,41,571.0,-143.0,
1,shoreline,42,570.0,-144.0,
1,shoreline,43,569.0,-144.0,
1,shoreline,44,568.0,-145.0,
1,shoreline,45,565.0,-145.0,
1,shoreline,46,564.0,-146.0,
1,shoreline,47,560.0,-146.0,
1,shoreline,48,559.0,-147.0,
1,shoreline,49,555.0,-147.0,
1,shoreline,50,554.0,-148.0,
1,shoreline,51,551.0,-148.0,
1,shoreline,52,550.0,-149.0,
1,shoreline,53,549.0,-149.0,
1,shoreline,54,549.0,-151.0,
1,shoreline,55,548.0,-152.0,
1,shoreline,56,548.0,-157.0,
1,shoreline,57,550.0,-159.0,
1,shoreline,58,551.0,-159.0,
1,shoreline,59,552.0,-160.0,
1,shoreline,60,553.0,-160.0,
1,shoreline,61,554.0,-161.0,
1,shoreline,62,556.0,-161.0,
1,shoreline,63,557.0,-162.0,
1,shoreline,64,562.0,-162.0,
1,shoreline,65,563.0,-163.0,
1,shoreline,66,566.0,-163.0,
1,shoreline,67,567.0,-164.0,
1,shoreline,68,571.0,-164.0,
1,shoreline,69,572.0,-165.0,
1,shoreline,70,575.0,-165.0,
1,shoreline,71,576.0,-166.0,
1,shoreline,72,586.0,-166.0,
1,shoreline,73,587.0,-167.0,
1,shoreline,74,591.0,-167.0,
1,shoreline,75,592.0,-168.0,
1,shoreline,76,596.0,-168.0,
1,shoreline,77,597.0,-169.0,
1,shoreline,78,601.0,-169.0,
1,shoreline,79,602.0,-170.0,
1,shoreline,80,606.0,-170.0,
1,shoreline,81,607.0,-171.0,
1,shoreline,82,609.0,-171.0,
1,shoreline,83,610.0,-172.0,
1,shoreline,84,613.0,-172.0,
1,shoreline,85,614.0,-173.0,
1,shoreline,86,618.0,-173.0,
1,shoreline,87,619.0,-174.0,
1,shoreline,88,624.0,-174.0,
1,shoreline,89,625.0,-175.0,
1,shoreline,90,629.0,-175.0,
1,shoreline,91,630.0,-176.0,
1,shoreline,92,635.0,-176.0,
1,shoreline,93,636.0,-177.0,
1,shoreline,94,645.0,-177.0,
1,shoreline,95,646.0,-178.0,
1,shoreline,96,648.0,-178.0,
1,shoreline,97,649.0,-179.0,
1,shoreline,98,651.0,-179.0,
