dataset,site,final_plot_group,records,sea_state_median,sea_state_p95,sea_state_p99,sea_state_max
jennettespier2024,Jennette's Pier,offshore,1374,5.0111205000000005,16.03878875,28.063251089999962,114.55672499999999
jennettespier2024,Jennette's Pier,onshore,15963,11.15625,57.95798400000001,129.06954917999983,436.60125
jennettespier2025,Jennette's Pier,offshore,1939,4.614914999999999,13.697449199999992,28.545277359999886,135.711693
jennettespier2025,Jennette's Pier,onshore,15574,9.304307999999999,71.02491199999999,191.942016,388.89276300000006
santacruz2025,Seabright / Santa Cruz,offshore,10314,19.949116000000004,84.65083200000001,147.90635481000007,454.230828
santacruz2025,Seabright / Santa Cruz,onshore,5739,20.695328,106.75863700000001,263.60704799999996,427.147202
