X_warped,Y_warped,Z_m
188925.0,76020.0,2.6879999999999993
188927.0,76020.0,2.6879999999999993
188929.0,76020.0,2.6879999999999993
188931.0,76020.0,2.6879999999999993
188933.0,76020.0,2.6879999999999993
188935.0,76020.0,2.6879999999999993
188937.0,76020.0,2.6879999999999993
188939.0,76020.0,2.6879999999999993
188941.0,76020.0,2.6879999999999993
188943.0,76020.0,2.6879999999999993
188945.0,76020.0,2.6879999999999993
188947.0,76020.0,2.6879999999999993
188949.0,76020.0,2.6879999999999993
188951.0,76020.0,2.6879999999999993
188953.0,76020.0,2.6879999999999993
188955.0,76020.0,2.6879999999999993
188957.0,76020.0,2.6879999999999993
188959.0,76020.0,2.6879999999999993
188961.0,76020.0,2.6882209988305488
188963.0,76020.0,2.6901345568922648
188965.0,76020.0,2.699258096174154
188967.0,76020.0,2.7292747285675945
188969.0,76020.0,2.804473481801319
188971.0,76020.0,2.954918534282785
188973.0,76020.0,3.2023567793467937
188975.0,76020.0,3.542549636312601
188977.0,76020.0,3.937476799870541
188979.0,76020.0,4.326245458928219
188981.0,76020.0,4.6507725802855004
188983.0,76020.0,4.879371562307846
188985.0,76020.0,5.013908191706402
188987.0,76020.0,5.078914183684282
188989.0,76020.0,5.1039828759082475
188991.0,76020.0,5.111332002453797
188993.0,76020.0,5.112827054190724
188995.0,76020.0,5.112996957956449
188997.0,76020.0,5.1129999999999995
188999.0,76020.0,5.1129999999999995
189001.0,76020.0,5.1129999999999995
189003.0,76020.0,5.1129999999999995
189005.0,76020.0,5.1129999999999995
189007.0,76020.0,5.1129999999999995
189009.0,76020.0,5.1129999999999995
189011.0,76020.0,5.1129999999999995
189013.0,76020.0,5.1129999999999995
189015.0,76020.0,5.1129999999999995
189017.0,76020.0,5.1129999999999995
189019.0,76020.0,5.1129999999999995
189021.0,76020.0,5.1129999999999995
189023.0,76020.0,5.1129999999999995
189025.0,76020.0,5.1129999999999995
189027.0,76020.0,5.1129999999999995
189029.0,76020.0,5.1129999999999995
189031.0,76020.0,5.1129999999999995
189033.0,76020.0,5.1129999999999995
189035.0,76020.0,5.1129999999999995
189037.0,76020.0,5.1129999999999995
189039.0,76020.0,5.1129999999999995
189041.0,76020.0,5.1129999999999995
189043.0,76020.0,5.1129999999999995
189045.0,76020.0,5.1129999999999995
189047.0,76020.0,5.1129999999999995
189049.0,76020.0,5.1129999999999995
189051.0,76020.0,5.1129999999999995
189053.0,76020.0,5.1129999999999995
189055.0,76020.0,5.1129999999999995
189057.0,76020.0,5.1129999999999995
189059.0,76020.0,5.1129999999999995
189061.0,76020.0,5.1129999999999995
189063.0,76020.0,5.1129999999999995
189065.0,76020.0,5.1129999999999995
189067.0,76020.0,5.1129999999999995
189069.0,76020.0,5.1129999999999995
189071.0,76020.0,5.1129999999999995
189073.0,76020.0,5.1129999999999995
189075.0,76020.0,5.1129999999999995
189077.0,76020.0,5.1129999999999995
189079.0,76020.0,5.1129999999999995
189081.0,76020.0,5.1129999999999995
189083.0,76020.0,5.1129999999999995
189085.0,76020.0,5.1129999999999995
189087.0,76020.0,5.1129999999999995
189089.0,76020.0,5.1129999999999995
189091.0,76020.0,5.1129999999999995
189093.0,76020.0,5.1129999999999995
189095.0,76020.0,5.1129999999999995
189097.0,76020.0,5.1129999999999995
189099.0,76020.0,5.1129999999999995
189101.0,76020.0,5.1129999999999995
189103.0,76020.0,5.1129999999999995
189105.0,76020.0,5.1129999999999995
189107.0,76020.0,5.1129999999999995
189109.0,76020.0,5.1129999999999995
189111.0,76020.0,5.1129999999999995
189113.0,76020.0,5.1129999999999995
189115.0,76020.0,5.1129999999999995
189117.0,76020.0,5.1129999999999995
189119.0,76020.0,5.1129999999999995
189121.0,76020.0,5.1129999999999995
189123.0,76020.0,5.1129999999999995
189125.0,76020.0,5.1129999999999995
188925.0,76022.0,2.6879999999999993
188927.0,76022.0,2.6879999999999993
188929.0,76022.0,2.6879999999999993
188931.0,76022.0,2.6879999999999993
188933.0,76022.0,2.6879999999999993
188935.0,76022.0,2.6879999999999993
188937.0,76022.0,2.6879999999999993
188939.0,76022.0,2.6879999999999993
188941.0,76022.0,2.6879999999999993
188943.0,76022.0,2.6879999999999993
188945.0,76022.0,2.6879999999999993
188947.0,76022.0,2.6879999999999993
188949.0,76022.0,2.6879999999999993
188951.0,76022.0,2.6879999999999993
188953.0,76022.0,2.6879999999999993
188955.0,76022.0,2.6879999999999993
188957.0,76022.0,2.6879999999999993
188959.0,76022.0,2.6879999999999993
188961.0,76022.0,2.688192155750956
188963.0,76022.0,2.6898979535049827
188965.0,76022.0,2.698172818970345
188967.0,76022.0,2.725832937960593
188969.0,76022.0,2.796143014539945
188971.0,76022.0,2.9388168851002603
188973.0,76022.0,3.1767760097917788
188975.0,76022.0,3.508623414615018
188977.0,76022.0,3.899550854245088
188979.0,76022.0,4.290398017725902
188981.0,76022.0,4.622144753441267
188983.0,76022.0,4.860184154282042
188985.0,76022.0,5.003238956295881
188987.0,76022.0,5.074096938719212
188989.0,76022.0,5.102273360100993
188991.0,76022.0,5.1108840333738765
188993.0,76022.0,5.11274931307776
188995.0,76022.0,5.112990648532788
188997.0,76022.0,5.1129999436658595
188999.0,76022.0,5.1129999999999995
189001.0,76022.0,5.1129999999999995
189003.0,76022.0,5.1129999999999995
189005.0,76022.0,5.1129999999999995
189007.0,76022.0,5.1129999999999995
189009.0,76022.0,5.1129999999999995
189011.0,76022.0,5.1129999999999995
189013.0,76022.0,5.1129999999999995
189015.0,76022.0,5.1129999999999995
189017.0,76022.0,5.1129999999999995
189019.0,76022.0,5.1129999999999995
189021.0,76022.0,5.1129999999999995
189023.0,76022.0,5.1129999999999995
189025.0,76022.0,5.1129999999999995
189027.0,76022.0,5.1129999999999995
189029.0,76022.0,5.1129999999999995
189031.0,76022.0,5.1129999999999995
189033.0,76022.0,5.1129999999999995
189035.0,76022.0,5.1129999999999995
189037.0,76022.0,5.1129999999999995
189039.0,76022.0,5.1129999999999995
189041.0,76022.0,5.1129999999999995
189043.0,76022.0,5.1129999999999995
189045.0,76022.0,5.1129999999999995
189047.0,76022.0,5.1129999999999995
189049.0,76022.0,5.1129999999999995
189051.0,76022.0,5.1129999999999995
189053.0,76022.0,5.1129999999999995
189055.0,76022.0,5.1129999999999995
189057.0,76022.0,5.1129999999999995
189059.0,76022.0,5.1129999999999995
189061.0,76022.0,5.1129999999999995
189063.0,76022.0,5.1129999999999995
189065.0,76022.0,5.1129999999999995
189067.0,76022.0,5.1129999999999995
189069.0,76022.0,5.1129999999999995
189071.0,76022.0,5.1129999999999995
189073.0,76022.0,5.1129999999999995
189075.0,76022.0,5.1129999999999995
189077.0,76022.0,5.1129999999999995
189079.0,76022.0,5.1129999999999995
189081.0,76022.0,5.1129999999999995
189083.0,76022.0,5.1129999999999995
189085.0,76022.0,5.1129999999999995
189087.0,76022.0,5.1129999999999995
189089.0,76022.0,5.1129999999999995
189091.0,76022.0,5.1129999999999995
189093.0,76022.0,5.1129999999999995
189095.0,76022.0,5.1129999999999995
189097.0,76022.0,5.1129999999999995
189099.0,76022.0,5.1129999999999995
189101.0,76022.0,5.1129999999999995
189103.0,76022.0,5.1129999999999995
189105.0,76022.0,5.1129999999999995
189107.0,76022.0,5.1129999999999995
189109.0,76022.0,5.1129999999999995
189111.0,76022.0,5.1129999999999995
189113.0,76022.0,5.1129999999999995
189115.0,76022.0,5.1129999999999995
189117.0,76022.0,5.1129999999999995
189119.0,76022.0,5.1129999999999995
189121.0,76022.0,5.1129999999999995
189123.0,76022.0,5.1129999999999995
189125.0,76022.0,5.1129999999999995
188925.0,76024.0,2.6879999999999993
188927.0,76024.0,2.6879999999999993
188929.0,76024.0,2.6879999999999993
188931.0,76024.0,2.6879999999999993
188933.0,76024.0,2.6879999999999993
188935.0,76024.0,2.6879999999999993
188937.0,76024.0,2.6879999999999993
188939.0,76024.0,2.6879999999999993
188941.0,76024.0,2.6879999999999993
188943.0,76024.0,2.6879999999999993
188945.0,76024.0,2.6879999999999993
188947.0,76024.0,2.6879999999999993
188949.0,76024.0,2.6879999999999993
188951.0,76024.0,2.6879999999999993
188953.0,76024.0,2.6879999999999993
188955.0,76024.0,2.6879999999999993
188957.0,76024.0,2.6879999999999993
188959.0,76024.0,2.6879999999999993
188961.0,76024.0,2.68814477873936
188963.0,76024.0,2.689504008865157
188965.0,76024.0,2.6963473675033214
188967.0,76024.0,2.7199856795828876
188969.0,76024.0,2.7818525079529275
188971.0,76024.0,2.9109174023498783
188973.0,76024.0,3.1319885659351367
188975.0,76024.0,3.448557250690476
188977.0,76024.0,3.83158377087537
