X_warped,Y_warped,Z_m,u,timestamp,clip_name
-553639.4188531741,6541290.160465929,-102.49326720000047,0.0,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553639.3163148902,6541289.73801325,-102.49326720000047,0.002506265664160401,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553639.2137766673,6541289.31556051,-102.49326720000047,0.005012531328320802,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553639.1236245865,6541288.8967240285,-102.49326720000047,0.007518796992481203,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553639.8809547854,6541288.725327767,-102.49326720000047,0.010025062656641603,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.6382851711,6541288.553931695,-102.49326720000047,0.012531328320802004,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553641.167814634,6541288.316024268,-102.49326720000047,0.015037593984962405,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553641.0652765192,6541287.893571427,-102.49326720000047,0.017543859649122806,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.9627382971,6541287.471118689,-102.49326720000047,0.020050125313283207,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.8601999672,6541287.048666053,-102.49326720000047,0.022556390977443608,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.7576617443,6541286.626213314,-102.49326720000047,0.02506265664160401,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.6551236296,6541286.203760472,-102.49326720000047,0.02756892230576441,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.5525854075,6541285.781307734,-102.49326720000047,0.03007518796992481,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.4500470773,6541285.3588550985,-102.49326720000047,0.03258145363408521,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553640.8978511292,6541285.097086238,-102.49326720000047,0.03508771929824561,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553641.65518114,6541284.925689787,-102.49326720000047,0.03759398496240601,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553642.5066233744,6541284.781771492,-102.49326720000047,0.040100250626566414,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553643.1698417241,6541284.582897453,-102.49326720000047,0.042606516290726815,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553643.9271719238,6541284.411501191,-102.49326720000047,0.045112781954887216,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553644.6845019361,6541284.240104741,-102.49326720000047,0.047619047619047616,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553645.4418321348,6541284.06870848,-102.49326720000047,0.05012531328320802,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553646.1991625187,6541283.897312406,-102.49326720000047,0.05263157894736842,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553646.6197756452,6541283.627604589,-102.49326720000047,0.05513784461152882,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553646.9424808698,6541283.329310389,-102.49326720000047,0.05764411027568922,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553647.6998112533,6541283.157914315,-102.49326720000047,0.06015037593984962,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.4571414528,6541282.986518053,-102.49326720000047,0.06265664160401002,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.5738137175,6541282.628068245,-102.49326720000047,0.06516290726817042,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.4712754498,6541282.20561555,-102.49326720000047,0.06766917293233082,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.3687371667,6541281.7831628695,-102.49326720000047,0.07017543859649122,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.2661989442,6541281.36071013,-102.49326720000047,0.07268170426065163,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.3870829494,6541281.003490028,-102.49326720000047,0.07518796992481203,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553649.1444131483,6541280.832093766,-102.49326720000047,0.07769423558897243,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553649.9017435306,6541280.660697691,-102.49326720000047,0.08020050125313283,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553650.2202369109,6541280.361173889,-102.49326720000047,0.08270676691729323,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553648.7167072246,6541279.5296724085,-102.49326720000047,0.08521303258145363,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553649.4740374234,6541279.358276147,-102.49326720000047,0.08771929824561403,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553649.9126222439,6541279.093815673,-102.49326720000047,0.09022556390977443,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553650.2173561439,6541278.790274505,-102.49326720000047,0.09273182957393483,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553650.9746861584,6541278.618878057,-102.49326720000047,0.09523809523809523,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.7320163572,6541278.447481796,-102.49326720000047,0.09774436090225563,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.8666602102,6541278.094279432,-102.49326720000047,0.10025062656641603,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.7641219874,6541277.671826692,-102.49326720000047,0.10275689223057644,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.6615838706,6541277.249373852,-102.49326720000047,0.10526315789473684,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.5590456487,6541276.826921115,-102.49326720000047,0.10776942355889724,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.4565073214,6541276.404468478,-102.49326720000047,0.11027568922305764,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553651.6479465584,6541276.067848574,-102.49326720000047,0.11278195488721804,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553652.4052765733,6541275.896452127,-102.49326720000047,0.11528822055137844,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553653.1626069552,6541275.725056051,-102.49326720000047,0.11779448621553884,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553653.9199371546,6541275.553659789,-102.49326720000047,0.12030075187969924,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553654.6772671707,6541275.382263343,-102.49326720000047,0.12280701754385964,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553655.4345973693,6541275.210867082,-102.49326720000047,0.12531328320802004,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553655.8062568182,6541274.926866352,-102.49326720000047,0.12781954887218044,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553656.5635870177,6541274.755470089,-102.49326720000047,0.13032581453634084,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.320917035,6541274.584073644,-102.49326720000047,0.13283208020050125,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.5236977258,6541274.250765172,-102.49326720000047,0.13533834586466165,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.421159444,6541273.82831249,-102.49326720000047,0.13784461152882205,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.3186212211,6541273.405859751,-102.49326720000047,0.14035087719298245,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.2160831029,6541272.983406913,-102.49326720000047,0.14285714285714285,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
-553657.1135448811,6541272.560954174,-102.49326720000047,0.14536340852130325,2026-02-17 08:40:00+00:00,surfline_trevone_20260217_0840
