feature_id,label,vertex_index,x,y,group_id
1,shoreline,0,620.0,-115.0,
1,shoreline,1,619.0,-116.0,
1,shoreline,2,618.0,-116.0,
1,shoreline,3,617.0,-117.0,
1,shoreline,4,616.0,-117.0,
1,shoreline,5,615.0,-118.0,
1,shoreline,6,614.0,-118.0,
1,shoreline,7,612.0,-120.0,
1,shoreline,8,612.0,-121.0,
1,shoreline,9,611.0,-122.0,
1,shoreline,10,611.0,-123.0,
1,shoreline,11,610.0,-124.0,
1,shoreline,12,610.0,-128.0,
1,shoreline,13,609.0,-129.0,
1,shoreline,14,609.0,-130.0,
1,shoreline,15,610.0,-131.0,
1,shoreline,16,610.0,-147.0,
1,shoreline,17,611.0,-148.0,
1,shoreline,18,611.0,-149.0,
1,shoreline,19,615.0,-153.0,
1,shoreline,20,615.0,-154.0,
1,shoreline,21,616.0,-155.0,
1,shoreline,22,616.0,-156.0,
1,shoreline,23,617.0,-157.0,
1,shoreline,24,617.0,-160.0,
1,shoreline,25,618.0,-161.0,
1,shoreline,26,618.0,-164.0,
1,shoreline,27,619.0,-165.0,
1,shoreline,28,619.0,-167.0,
1,shoreline,29,618.0,-168.0,
1,shoreline,30,618.0,-175.0,
1,shoreline,31,619.0,-176.0,
1,shoreline,32,619.0,-177.0,
1,shoreline,33,620.0,-178.0,
1,shoreline,34,620.0,-180.0,
1,shoreline,35,621.0,-181.0,
1,shoreline,36,621.0,-184.0,
1,shoreline,37,622.0,-185.0,
1,shoreline,38,622.0,-191.0,
1,shoreline,39,624.0,-193.0,
1,shoreline,40,626.0,-193.0,
1,shoreline,41,627.0,-194.0,
1,shoreline,42,628.0,-194.0,
1,shoreline,43,629.0,-195.0,
1,shoreline,44,630.0,-195.0,
1,shoreline,45,632.0,-197.0,
1,shoreline,46,631.0,-198.0,
1,shoreline,47,631.0,-199.0,
1,shoreline,48,630.0,-200.0,
1,shoreline,49,630.0,-202.0,
1,shoreline,50,629.0,-203.0,
1,shoreline,51,629.0,-204.0,
1,shoreline,52,628.0,-205.0,
1,shoreline,53,628.0,-206.0,
1,shoreline,54,627.0,-207.0,
1,shoreline,55,627.0,-208.0,
1,shoreline,56,626.0,-209.0,
1,shoreline,57,626.0,-210.0,
1,shoreline,58,625.0,-211.0,
1,shoreline,59,625.0,-221.0,
1,shoreline,60,620.0,-226.0,
1,shoreline,61,619.0,-226.0,
1,shoreline,62,619.0,-227.0,
1,shoreline,63,618.0,-228.0,
1,shoreline,64,618.0,-230.0,
1,shoreline,65,617.0,-231.0,
1,shoreline,66,617.0,-232.0,
1,shoreline,67,615.0,-234.0,
1,shoreline,68,615.0,-236.0,
1,shoreline,69,613.0,-238.0,
1,shoreline,70,612.0,-238.0,
1,shoreline,71,612.0,-239.0,
1,shoreline,72,611.0,-240.0,
1,shoreline,73,611.0,-241.0,
1,shoreline,74,610.0,-242.0,
1,shoreline,75,610.0,-243.0,
1,shoreline,76,609.0,-244.0,
1,shoreline,77,609.0,-246.0,
1,shoreline,78,606.0,-249.0,
1,shoreline,79,607.0,-250.0,
1,shoreline,80,607.0,-253.0,
1,shoreline,81,612.0,-258.0,
1,shoreline,82,612.0,-259.0,
1,shoreline,83,613.0,-259.0,
1,shoreline,84,614.0,-260.0,
1,shoreline,85,615.0,-260.0,
1,shoreline,86,617.0,-262.0,
1,shoreline,87,620.0,-262.0,
1,shoreline,88,621.0,-263.0,
1,shoreline,89,624.0,-263.0,
1,shoreline,90,625.0,-264.0,
1,shoreline,91,626.0,-264.0,
1,shoreline,92,627.0,-265.0,
1,shoreline,93,628.0,-265.0,
1,shoreline,94,629.0,-266.0,
1,shoreline,95,630.0,-266.0,
1,shoreline,96,631.0,-267.0,
1,shoreline,97,631.0,-268.0,
1,shoreline,98,634.0,-271.0,
1,shoreline,99,634.0,-275.0,
1,shoreline,100,635.0,-276.0,
1,shoreline,101,635.0,-283.0,
1,shoreline,102,634.0,-284.0,
1,shoreline,103,634.0,-287.0,
1,shoreline,104,632.0,-289.0,
1,shoreline,105,632.0,-292.0,
1,shoreline,106,633.0,-293.0,
1,shoreline,107,633.0,-294.0,
1,shoreline,108,632.0,-295.0,
1,shoreline,109,631.0,-295.0,
1,shoreline,110,630.0,-296.0,
1,shoreline,111,630.0,-301.0,
1,shoreline,112,629.0,-302.0,
1,shoreline,113,629.0,-305.0,
1,shoreline,114,625.0,-309.0,
1,shoreline,115,625.0,-310.0,
1,shoreline,116,618.0,-317.0,
1,shoreline,117,618.0,-318.0,
1,shoreline,118,617.0,-319.0,
1,shoreline,119,617.0,-320.0,
1,shoreline,120,616.0,-321.0,
1,shoreline,121,615.0,-321.0,
1,shoreline,122,613.0,-323.0,
1,shoreline,123,613.0,-324.0,
1,shoreline,124,610.0,-327.0,
1,shoreline,125,610.0,-328.0,
1,shoreline,126,605.0,-333.0,
1,shoreline,127,605.0,-334.0,
1,shoreline,128,601.0,-338.0,
1,shoreline,129,600.0,-338.0,
1,shoreline,130,599.0,-339.0,
1,shoreline,131,597.0,-339.0,
1,shoreline,132,594.0,-342.0,
1,shoreline,133,593.0,-342.0,
1,shoreline,134,591.0,-344.0,
1,shoreline,135,590.0,-344.0,
1,shoreline,136,589.0,-345.0,
1,shoreline,137,588.0,-345.0,
1,shoreline,138,587.0,-346.0,
1,shoreline,139,585.0,-346.0,
1,shoreline,140,583.0,-348.0,
1,shoreline,141,582.0,-348.0,
1,shoreline,142,580.0,-350.0,
1,shoreline,143,580.0,-351.0,
1,shoreline,144,578.0,-353.0,
1,shoreline,145,577.0,-353.0,
1,shoreline,146,568.0,-362.0,
1,shoreline,147,568.0,-363.0,
1,shoreline,148,567.0,-364.0,
1,shoreline,149,567.0,-365.0,
1,shoreline,150,565.0,-367.0,
1,shoreline,151,565.0,-368.0,
1,shoreline,152,564.0,-369.0,
1,shoreline,153,564.0,-370.0,
1,shoreline,154,562.0,-372.0,
1,shoreline,155,562.0,-374.0,
1,shoreline,156,561.0,-375.0,
1,shoreline,157,561.0,-379.0,
1,shoreline,158,560.0,-380.0,
1,shoreline,159,560.0,-406.0,
1,shoreline,160,561.0,-407.0,
1,shoreline,161,561.0,-411.0,
1,shoreline,162,562.0,-412.0,
1,shoreline,163,562.0,-413.0,
1,shoreline,164,563.0,-414.0,
1,shoreline,165,563.0,-415.0,
1,shoreline,166,564.0,-416.0,
1,shoreline,167,564.0,-417.0,
1,shoreline,168,566.0,-419.0,
1,shoreline,169,566.0,-421.0,
1,shoreline,170,567.0,-422.0,
1,shoreline,171,567.0,-423.0,
1,shoreline,172,568.0,-424.0,
1,shoreline,173,568.0,-425.0,
1,shoreline,174,569.0,-426.0,
1,shoreline,175,569.0,-427.0,
1,shoreline,176,570.0,-428.0,
1,shoreline,177,570.0,-429.0,
1,shoreline,178,571.0,-430.0,
1,shoreline,179,571.0,-431.0,
1,shoreline,180,572.0,-432.0,
1,shoreline,181,572.0,-433.0,
1,shoreline,182,573.0,-434.0,
1,shoreline,183,573.0,-435.0,
1,shoreline,184,574.0,-436.0,
1,shoreline,185,574.0,-437.0,
1,shoreline,186,575.0,-438.0,
1,shoreline,187,575.0,-440.0,
1,shoreline,188,577.0,-442.0,
1,shoreline,189,577.0,-444.0,
1,shoreline,190,578.0,-444.0,
1,shoreline,191,579.0,-445.0,
1,shoreline,192,580.0,-445.0,
1,shoreline,193,581.0,-446.0,
1,shoreline,194,581.0,-447.0,
