u,X_warped,Y_warped,rep_choice
0.0,-13581919.59293677,4434086.581378033,median_pointwise
0.002506265664160401,-13581917.853766466,4434085.750841043,median_pointwise
0.005012531328320802,-13581916.120664353,4434084.900053289,median_pointwise
0.007518796992481203,-13581914.377433233,4434084.083067895,median_pointwise
0.010025062656641603,-13581912.639204105,4434083.249389987,median_pointwise
0.012531328320802004,-13581910.869918473,4434082.519353808,median_pointwise
0.015037593984962405,-13581909.103512457,4434081.779707576,median_pointwise
0.017543859649122806,-13581907.338678136,4434081.034816251,median_pointwise
0.020050125313283207,-13581905.604560068,4434080.187418934,median_pointwise
0.022556390977443608,-13581903.840673866,4434079.439363756,median_pointwise
0.02506265664160401,-13581902.099194558,4434078.616532383,median_pointwise
0.02756892230576441,-13581900.355822958,4434077.800015741,median_pointwise
0.03007518796992481,-13581898.592495762,4434077.050094954,median_pointwise
0.03258145363408521,-13581896.82147404,4434076.32585238,median_pointwise
0.03508771929824561,-13581895.043939618,4434075.623343857,median_pointwise
0.03759398496240601,-13581893.28243804,4434074.867330588,median_pointwise
0.040100250626566414,-13581891.505997209,4434074.161172481,median_pointwise
0.042606516290726815,-13581889.766221583,4434073.332655633,median_pointwise
0.045112781954887216,-13581888.022993658,4434072.51565967,median_pointwise
0.047619047619047616,-13581886.270110833,4434071.730883899,median_pointwise
0.05012531328320802,-13581884.487182302,4434071.046376618,median_pointwise
0.05263157894736842,-13581882.704205787,4434070.362029445,median_pointwise
0.05513784461152882,-13581880.929734193,4434069.649299677,median_pointwise
0.05764411027568922,-13581879.164254302,4434068.90656275,median_pointwise
0.06015037593984962,-13581877.407838786,4434068.133576348,median_pointwise
0.06265664160401002,-13581875.646935623,4434067.375566236,median_pointwise
0.06516290726817042,-13581873.88626358,4434066.6167846285,median_pointwise
0.06766917293233082,-13581872.131707821,4434065.837591752,median_pointwise
0.07017543859649122,-13581870.35058251,4434065.1470667245,median_pointwise
0.07268170426065163,-13581868.56642181,4434064.466671472,median_pointwise
0.07518796992481203,-13581866.783394169,4434063.78249494,median_pointwise
0.07769423558897243,-13581864.996422427,4434063.1114804335,median_pointwise
0.08020050125313283,-13581863.222888038,4434062.395623122,median_pointwise
0.08270676691729323,-13581861.448396552,4434061.682959726,median_pointwise
0.08521303258145363,-13581859.645077,4434061.066501098,median_pointwise
0.08771929824561403,-13581857.857344346,4434060.398026103,median_pointwise
0.09022556390977443,-13581856.088020928,4434059.6681159,median_pointwise
0.09273182957393483,-13581854.318266835,4434058.939642915,median_pointwise
0.09523809523809523,-13581852.574376144,4434058.124858642,median_pointwise
0.09774436090225563,-13581850.792071562,4434057.43826907,median_pointwise
0.10025062656641603,-13581849.004378345,4434056.769662566,median_pointwise
0.10275689223057644,-13581847.208839534,4434056.127238122,median_pointwise
0.10526315789473684,-13581845.449484617,4434055.36406098,median_pointwise
0.10776942355889724,-13581843.71431517,4434054.52017231,median_pointwise
0.11027568922305764,-13581841.957754804,4434053.747669396,median_pointwise
0.11278195488721804,-13581840.241499957,4434052.840659098,median_pointwise
0.11528822055137844,-13581838.521107303,4434051.947457266,median_pointwise
0.11779448621553884,-13581836.752582792,4434051.214880922,median_pointwise
0.12030075187969924,-13581835.008562654,4434050.400528823,median_pointwise
0.12280701754385964,-13581833.27642545,4434049.546520989,median_pointwise
0.12531328320802004,-13581831.551850487,4434048.6672764355,median_pointwise
0.12781954887218044,-13581829.792844405,4434047.902935194,median_pointwise
0.13032581453634084,-13581828.057452038,4434047.059790553,median_pointwise
0.13283208020050125,-13581826.331746679,4434046.184318397,median_pointwise
0.13533834586466165,-13581824.577271976,4434045.404855029,median_pointwise
0.13784461152882205,-13581822.7947925,4434044.7188491635,median_pointwise
0.14035087719298245,-13581821.02407272,4434043.99359889,median_pointwise
0.14285714285714285,-13581819.277323516,4434043.18835413,median_pointwise
0.14536340852130325,-13581817.516920697,4434042.428674033,median_pointwise
0.14786967418546365,-13581815.868499788,4434041.295288681,median_pointwise
0.15037593984962405,-13581814.218627097,4434040.166748339,median_pointwise
0.15288220551378445,-13581812.57276545,4434039.024822174,median_pointwise
0.15538847117794485,-13581810.893370591,4434037.994802818,median_pointwise
0.15789473684210525,-13581809.227837753,4434036.918523371,median_pointwise
0.16040100250626566,-13581807.541266117,4434035.912454391,median_pointwise
0.16290726817042606,-13581806.007261423,4434034.3972399,median_pointwise
