37.196962	-363.958270	-13580939.041312	4433941.428482
264.423328	-313.395409	-13580904.467544	4433912.591523
545.249665	-305.442541	-13580844.689575	4433882.537137
375.865831	-592.012422	-13581113.996635	4433716.712304
61.668186	-328.980154	-13580932.094097	4433940.328807
3.463814	-552.026622	-13581111.231773	4433752.661604
238.837848	-364.621326	-13580891.336161	4433930.249377
224.484055	-340.768612	-13580890.940433	4433933.536187
290.495155	-351.950244	-13580884.967134	4433920.223030
448.304079	-348.512604	-13580851.242162	4433902.637133
