200.716159	-420.582289	-13583024.800232	4434070.784948
156.773284	-449.695441	-13583180.778306	4434053.105599
663.132070	-470.354988	-13581996.927553	4434090.565639
819.360091	-455.487181	-13581852.167601	4434096.064318
937.808081	-456.268751	-13581769.046488	4434099.271449
1031.164732	-497.606089	-13581634.732314	4434029.109340
1078.050245	-471.996588	-13581618.542900	4434039.374016
733.597726	-793.878221	-13581280.368314	4433666.817688
920.319468	-764.109077	-13581281.083548	4433678.368775
721.892183	-845.009620	-13581272.653551	4433661.084877
897.131419	-852.031827	-13581268.079223	4433667.307665
432.461416	-467.583081	-13582300.678867	4434064.316152
277.259309	-476.100264	-13582318.236119	4433956.984215
