734.009922	-792.282453	-13581280.732898	4433666.494651
895.818092	-456.299279	-13581809.214656	4434109.213230
895.720196	-456.694268	-13581806.898024	4434108.524573
935.140665	-456.245459	-13581768.103848	4434099.595741
785.559522	-465.616116	-13581873.885231	4434088.997229
663.789853	-471.101378	-13581997.342879	4434090.448005
1078.522419	-472.895718	-13581618.378965	4434039.178158
1030.734529	-497.996490	-13581634.602805	4434029.650539
411.823846	-470.386041	-13582300.695066	4434056.946169
200.905491	-420.862944	-13583024.442411	4434072.705101
710.994913	-907.769282	-13581247.850200	4433644.077040
