43.182039	-373.590484	-13580940.182783	4433938.512273
183.210650	-359.017983	-13580913.317328	4433922.761496
338.716401	-363.464601	-13580878.492841	4433911.392291
231.458653	-327.050178	-13580885.119991	4433937.499588
545.658118	-382.480490	-13580844.811352	4433881.032685
564.341165	-345.829497	-13580700.979184	4433969.137519
1102.407846	-372.622207	-13580549.067806	4433751.061895
1102.454092	-314.754976	-13580550.919377	4433752.933322
357.998088	-598.316105	-13581114.087316	4433716.188604
8.560031	-563.304559	-13581118.452645	4433748.136889
