842.615563	-883.899621	-13581272.578630	4433660.926000
862.769021	-820.559640	-13581280.495272	4433666.727375
872.105876	-378.438470	-13581975.680094	4434140.902090
756.627873	-397.468950	-13581997.079883	4434091.021871
777.280920	-396.993393	-13581992.664712	4434102.865153
716.298611	-401.110485	-13582021.691502	4434095.909164
246.569881	-419.842671	-13582318.752357	4433955.332615
300.983114	-401.945044	-13582315.329575	4433991.201841
475.518734	-405.207939	-13582299.688692	4434062.893331
426.542186	-366.485961	-13582636.015737	4434194.971614
