id,map_x,map_y
1,-13580910.82465937,4433763.111358234
2,-13580920.963694643,4433770.935567467
3,-13580941.29749854,4433786.263342978
4,-13580955.295241836,4433793.2548454935
5,-13581042.494259955,4433838.970949685
6,-13581070.478751343,4433847.883532463
7,-13581094.05304928,4433847.710592435
8,-13581100.709056113,4433851.543182083
9,-13581100.985146878,4433860.1141519165
10,-13581108.023034075,4433857.882999998
11,-13581112.604949212,4433860.628278178
12,-13581110.26076368,4433865.751784372
13,-13581114.618439429,4433866.560489533
14,-13581115.405609427,4433879.086968019
15,-13581118.687478542,4433888.460836776
16,-13581495.846802277,4433592.803580633
17,-13581358.537170034,4433412.147073082
