audit_case,location,direction_group,final_plot_group,sea_state_bin,sea_state_for_plot,shoreline_variance,curve_boxplot_variance,central_band_area,n_usable_curves,outlier_count,H_mean,T_mean,direction_degrees_mean,included_in_correlation,cleanup_reason,plot_path,curves_csv
seabright_near_40_1500,seabright,offshore,offshore,10,38.953824,1529.2932531141814,448.988118308379,65182.73907376437,632,0,1.82,11.76,301.0,True,,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_10\curve_boxplot.png,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_10\curves.csv
seabright_near_40_1500,seabright,south_westerly_onshore,onshore,8,41.829241,1636.3473158922498,489.1970158065512,94393.43900855276,3606,1,1.74,13.81,279.5,True,,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_westerly_onshore\bin_8\curve_boxplot.png,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_westerly_onshore\bin_8\curves.csv
jennettes_near_6_30000,jennettes_pier,offshore,offshore,10,6.398513353418592,31560.76845157404,13145.106540601002,177965.94525656063,4066,16,1.2313846532218395,4.236153467781604,207.79783571077223,True,,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\offshore\bin_10\curve_boxplot.png,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\offshore\bin_10\curves.csv
jennettes_near_6_30000,jennettes_pier,south_easterly_onshore,onshore,5,6.4085415354994,31057.475481410624,22641.588581027783,367577.67719402665,2493,0,0.9200000000000002,7.571528279181709,88.61612515042118,True,,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\south_easterly_onshore\bin_5\curve_boxplot.png,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\south_easterly_onshore\bin_5\curves.csv
jennettes_near_6_30000,jennettes_pier,north_easterly_onshore,onshore,2,5.269330472000001,60201.972562498944,22876.827465034945,356322.8732101904,4000,1277,1.05158,4.76,165.146,True,,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\north_easterly_onshore\bin_2\curve_boxplot.png,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\jennettes_pier\north_easterly_onshore\bin_2\curves.csv
