u,X_warped,Y_warped,rep_choice
0.0,-553601.4808539322,6541279.083677659,median_pointwise
0.002506265664160401,-553601.489261185,6541278.693617846,median_pointwise
0.005012531328320802,-553601.7275561125,6541278.370678436,median_pointwise
0.007518796992481203,-553602.4848861035,6541278.199281965,median_pointwise
0.010025062656641603,-553603.2422163024,6541278.027885704,median_pointwise
0.012531328320802004,-553603.5285874638,6541277.718983301,median_pointwise
0.015037593984962405,-553603.8559834523,6541277.4220588,median_pointwise
0.017543859649122806,-553604.1833793968,6541277.125134139,median_pointwise
0.020050125313283207,-553604.7286934841,6541276.891835363,median_pointwise
0.022556390977443608,-553605.0560895164,6541276.594911024,median_pointwise
0.02506265664160401,-553605.294798896,6541276.272092623,median_pointwise
0.02756892230576441,-553605.192260792,6541275.849639771,median_pointwise
0.03007518796992481,-553605.08972257,6541275.427187032,median_pointwise
0.03258145363408521,-553605.4014961406,6541275.12570139,median_pointwise
0.03508771929824561,-553605.7288921291,6541274.8287768895,median_pointwise
0.03759398496240601,-553606.2742061736,6541274.595477953,median_pointwise
0.040100250626566414,-553606.352279253,6541274.225758442,median_pointwise
0.042606516290726815,-553606.9289981938,6541274.001629114,median_pointwise
0.045112781954887216,-553606.8707232509,6541273.59209996,median_pointwise
0.047619047619047616,-553607.1981191953,6541273.295175299,median_pointwise
0.05012531328320802,-553607.8389163233,6541273.089754784,median_pointwise
0.05263157894736842,-553607.4392339333,6541272.580544771,median_pointwise
0.05513784461152882,-553608.196564133,6541272.409148508,median_pointwise
0.05764411027568922,-553608.5327857822,6541272.114800696,median_pointwise
0.06015037593984962,-553608.5876454953,6541271.738303708,median_pointwise
0.06265664160401002,-553608.4851072723,6541271.3158509685,median_pointwise
0.06516290726817042,-553608.3825691682,6541270.893398116,median_pointwise
0.06766917293233082,-553608.3193411621,6541270.482422877,median_pointwise
0.07017543859649122,-553609.0766714778,6541270.311026734,median_pointwise
0.07268170426065163,-553609.8340016776,6541270.139630472,median_pointwise
0.07518796992481203,-553610.3366071342,6541269.893861875,median_pointwise
0.07769423558897243,-553610.2340689121,6541269.471409136,median_pointwise
0.08020050125313283,-553610.1545840941,6541269.055687467,median_pointwise
0.08270676691729323,-553610.5492968848,6541268.778417507,median_pointwise
0.08521303258145363,-553611.3066268788,6541268.607021039,median_pointwise
0.08771929824561403,-553611.9331965124,6541268.39744651,median_pointwise
0.09022556390977443,-553612.0855685391,6541268.049420269,median_pointwise
0.09273182957393483,-553611.9830303162,6541267.62696753,median_pointwise
0.09523809523809523,-553611.8804922111,6541267.2045146795,median_pointwise
0.09774436090225563,-553611.777953989,6541266.782061941,median_pointwise
0.10025062656641603,-553612.1867344278,6541266.508899472,median_pointwise
0.10275689223057644,-553612.9440646276,6541266.33750321,median_pointwise
0.10526315789473684,-553613.671544667,6541266.157391426,median_pointwise
0.10776942355889724,-553613.7319919554,6541265.7825257,median_pointwise
0.11027568922305764,-553613.6294536162,6541265.360073073,median_pointwise
0.11278195488721804,-553613.5269153934,6541264.937620333,median_pointwise
0.11528822055137844,-553613.6453479673,6541264.579684471,median_pointwise
0.11779448621553884,-553614.4026783695,6541264.408288415,median_pointwise
0.12030075187969924,-553615.1600085694,6541264.236892153,median_pointwise
0.12280701754385964,-553615.4809534766,6541263.93808398,median_pointwise
0.12531328320802004,-553615.3784152545,6541263.515631242,median_pointwise
0.12781954887218044,-553615.4861784446,6541263.154580522,median_pointwise
0.13032581453634084,-553615.8135744327,6541262.857656022,median_pointwise
0.13283208020050125,-553616.1409703783,6541262.5607313635,median_pointwise
0.13533834586466165,-553616.1503577433,6541262.170957691,median_pointwise
0.13784461152882205,-553616.2423386343,6541261.805298939,median_pointwise
0.14035087719298245,-553616.5697346227,6541261.508374439,median_pointwise
0.14285714285714285,-553616.8971305675,6541261.2114497805,median_pointwise
0.14536340852130325,-553616.9223003318,6541260.826284045,median_pointwise
0.14786967418546365,-553616.819761993,6541260.403831419,median_pointwise
0.15037593984962405,-553617.113058725,6541260.096950931,median_pointwise
0.15288220551378445,-553617.8703887209,6541259.925554465,median_pointwise
0.15538847117794485,-553618.5591931432,6541259.734150677,median_pointwise
0.15789473684210525,-553618.7737999596,6541259.404295177,median_pointwise
0.16040100250626566,-553618.6712617368,6541258.981842438,median_pointwise
0.16290726817042606,-553618.5687236305,6541258.5593895875,median_pointwise
0.16541353383458646,-553618.4661854085,6541258.136936849,median_pointwise
0.16791979949874686,-553618.4606539361,6541257.742807396,median_pointwise
0.17042606516290726,-553618.7880499245,6541257.445882895,median_pointwise
0.17293233082706766,-553619.3009791358,6541257.203128534,median_pointwise
0.17543859649122806,-553619.8535954664,6541256.971961945,median_pointwise
0.17794486215538846,-553620.1809914547,6541256.675037445,median_pointwise
0.18045112781954886,-553620.3155519342,6541256.321810461,median_pointwise
0.18295739348370926,-553620.6429479223,6541256.024885961,median_pointwise
0.18546365914786966,-553620.970343953,6541255.7279616175,median_pointwise
0.18796992481203006,-553621.515658042,6541255.494662841,median_pointwise
0.19047619047619047,-553621.8430539872,6541255.197738184,median_pointwise
0.19298245614035087,-553622.0666466737,6541254.870506151,median_pointwise
0.19548872180451127,-553620.782012908,6541254.102916166,median_pointwise
0.19799498746867167,-553619.907627394,6541253.455106612,median_pointwise
0.20050125313283207,-553620.2350233208,6541253.158181887,median_pointwise
0.20300751879699247,-553620.5875019431,6541252.868580785,median_pointwise
0.20551378446115287,-553620.9148979745,6541252.571656442,median_pointwise
0.20802005012531327,-553621.2422939629,6541252.2747319415,median_pointwise
0.21052631578947367,-553621.3488791167,6541251.913336979,median_pointwise
0.21303258145363407,-553621.2463408946,6541251.490884241,median_pointwise
0.21553884711779447,-553621.1438025562,6541251.068431613,median_pointwise
0.21804511278195488,-553619.8591689051,6541250.300841518,median_pointwise
0.22055137844611528,-553618.8419220578,6541249.611320417,median_pointwise
0.22305764411027568,-553619.5992522566,6541249.439924156,median_pointwise
0.22556390977443608,-553620.3565826577,6541249.2685281,median_pointwise
0.22807017543859648,-553620.6311114439,6541248.95616792,median_pointwise
0.23057644110275688,-553620.528573338,6541248.533715069,median_pointwise
0.23308270676691728,-553620.4260349994,6541248.111262443,median_pointwise
0.23558897243107768,-553620.3234967764,6541247.688809703,median_pointwise
0.23809523809523808,-553620.2209586708,6541247.266356853,median_pointwise
0.24060150375939848,-553620.1184204485,6541246.843904114,median_pointwise
0.24310776942355888,-553618.330146356,6541245.92926586,median_pointwise
0.24561403508771928,-553619.0874765555,6541245.7578695975,median_pointwise
0.24812030075187969,-553619.7313884334,6541245.553358351,median_pointwise
0.2506265664160401,-553619.7082675593,6541245.15409316,median_pointwise
0.2531328320802005,-553620.0096188908,6541244.849564527,median_pointwise
0.2556390977443609,-553620.7669490903,6541244.678168265,median_pointwise
0.2581453634085213,-553621.5242790862,6541244.506771798,median_pointwise
0.2606516290726817,-553621.6623055256,6541244.154556919,median_pointwise
0.2631578947368421,-553621.559767187,6541243.732104292,median_pointwise
0.2656641604010025,-553621.457228914,6541243.3096516,median_pointwise
0.2681704260651629,-553621.354690858,6541242.887198702,median_pointwise
0.2706766917293233,-553619.140195178,6541241.848116039,median_pointwise
0.2731829573934837,-553619.8975255804,6541241.676719984,median_pointwise
0.2756892230576441,-553620.6548557802,6541241.505323722,median_pointwise
0.2781954887218045,-553620.9445379688,6541241.1973877475,median_pointwise
0.2807017543859649,-553621.3981741118,6541240.937321687,median_pointwise
0.2832080200501253,-553622.1555045132,6541240.765925632,median_pointwise
0.2857142857142857,-553622.912834713,6541240.59452937,median_pointwise
0.2882205513784461,-553623.2844937772,6541240.31052825,median_pointwise
0.2907268170426065,-553624.0418239761,6541240.139131989,median_pointwise
0.2932330827067669,-553624.7991543763,6541239.967735931,median_pointwise
0.2957393483709273,-553624.955152008,6541239.620768114,median_pointwise
0.2982456140350877,-553624.8526139016,6541239.198315265,median_pointwise
0.3007518796992481,-553624.7500755636,6541238.775862638,median_pointwise
0.3032581453634085,-553624.6475373405,6541238.3534098985,median_pointwise
0.3057644110275689,-553624.5449992345,6541237.930957048,median_pointwise
0.3082706766917293,-553624.9079196581,6541237.644404647,median_pointwise
0.3107769423558897,-553625.6652500586,6541237.47300859,median_pointwise
0.3132832080200501,-553626.4156600498,6541237.299591828,median_pointwise
0.3157894736842105,-553625.444391064,6541236.623494923,median_pointwise
0.3182957393483709,-553626.2017212625,6541236.452098662,median_pointwise
0.3208020050125313,-553626.2939606406,6541236.086515442,median_pointwise
0.3233082706766917,-553626.1914224178,6541235.664062702,median_pointwise
0.3258145363408521,-553626.5099562232,6541235.364550559,median_pointwise
0.3283208020050125,-553626.9170164706,6541235.090885697,median_pointwise
0.3308270676691729,-553627.5755018073,6541234.890629766,median_pointwise
0.3333333333333333,-553627.9028978139,6541234.593705332,median_pointwise
0.3358395989974937,-553628.0429222774,6541234.24207361,median_pointwise
0.3383458646616541,-553627.9403840553,6541233.819620873,median_pointwise
0.3408521303258145,-553627.8378457174,6541233.397168245,median_pointwise
0.3433583959899749,-553627.7353074945,6541232.974715506,median_pointwise
0.3458646616541353,-553627.6327693879,6541232.552262656,median_pointwise
0.3483709273182957,-553627.5302311658,6541232.129809918,median_pointwise
0.3508771929824561,-553627.755089026,6541231.8029474225,median_pointwise
0.3533834586466165,-553628.512419226,6541231.6315511605,median_pointwise
0.3558897243107769,-553629.2697492236,6541231.460154696,median_pointwise
0.3583959899749373,-553629.4842690162,6541231.130273786,median_pointwise
0.3609022556390977,-553629.3817307933,6541230.707821047,median_pointwise
0.3634085213032581,-553629.2791926867,6541230.2853681985,median_pointwise
0.3659147869674185,-553629.1766544644,6541229.86291546,median_pointwise
0.3684210526315789,-553629.074116127,6541229.440462832,median_pointwise
0.37092731829573933,-553628.9715779041,6541229.018010093,median_pointwise
0.37343358395989973,-553628.8690397978,6541228.595557244,median_pointwise
0.37593984962406013,-553628.7665015755,6541228.173104505,median_pointwise
0.37844611528822053,-553628.6639632377,6541227.750651877,median_pointwise
0.38095238095238093,-553628.5614250145,6541227.328199138,median_pointwise
0.38345864661654133,-553628.4588869084,6541226.905746289,median_pointwise
0.38596491228070173,-553628.6325612385,6541226.563939553,median_pointwise
0.38847117794486213,-553628.9599572695,6541226.26701521,median_pointwise
0.39097744360902253,-553629.2873532576,6541225.97009071,median_pointwise
0.39348370927318294,-553629.2308294467,6541225.56107269,median_pointwise
0.39598997493734334,-553629.1958859629,6541225.158355643,median_pointwise
0.39849624060150374,-553629.5232819945,6541224.861431301,median_pointwise
0.40100250626566414,-553629.8506780011,6541224.564506867,median_pointwise
0.40350877192982454,-553630.002771985,6541224.216399092,median_pointwise
0.40601503759398494,-553629.9002337629,6541223.793946355,median_pointwise
0.40852130325814534,-553629.7976954251,6541223.371493727,median_pointwise
0.41102756892230574,-553630.1185056147,6541223.0726463655,median_pointwise
0.41353383458646614,-553630.8758356116,6541222.9012499,median_pointwise
0.41604010025062654,-553631.6331660113,6541222.729853842,median_pointwise
0.41854636591478694,-553631.751733391,6541222.371957484,median_pointwise
0.42105263157894735,-553631.6491952842,6541221.949504635,median_pointwise
0.42355889724310775,-553631.546657062,6541221.527051897,median_pointwise
0.42606516290726815,-553631.4441187243,6541221.104599269,median_pointwise
0.42857142857142855,-553631.3702722283,6541220.690523677,median_pointwise
0.43107769423558895,-553632.1276022258,6541220.5191272115,median_pointwise
0.43358395989974935,-553632.8849324243,6541220.34773095,median_pointwise
0.43609022556390975,-553633.3981566911,6541220.105063027,median_pointwise
0.43859649122807015,-553630.9314276115,6541218.992335575,median_pointwise
0.44110275689223055,-553630.8288895056,6541218.569882725,median_pointwise
0.44360902255639095,-553630.8134411975,6541218.1728577,median_pointwise
0.44611528822055135,-553631.1408372286,6541217.8759333575,median_pointwise
0.44862155388471175,-553631.6438498489,6541217.630283786,median_pointwise
0.45112781954887216,-553632.2063827275,6541217.402012249,median_pointwise
0.45363408521303256,-553632.5337787156,6541217.10508775,median_pointwise
0.45614035087719296,-553632.5778509119,6541216.725441118,median_pointwise
0.45864661654135336,-553632.4753126887,6541216.302988378,median_pointwise
0.46115288220551376,-553632.3727745824,6541215.880535529,median_pointwise
0.46365914786967416,-553632.27023636,6541215.4580827905,median_pointwise
0.46616541353383456,-553632.167698022,6541215.035630164,median_pointwise
0.46867167919799496,-553632.0651597492,6541214.613177472,median_pointwise
0.47117794486215536,-553632.1258541141,6541214.238383676,median_pointwise
0.47368421052631576,-553632.6607460051,6541214.002042067,median_pointwise
0.47619047619047616,-553633.4180762046,6541213.830645805,median_pointwise
