x,median,q1,q3,whisker_low,whisker_high,iqr,std,count
451.80000000000007,-299.60000000000116,-454.3499999999904,-233.44999999999993,-785.6999999999762,-214.0,220.89999999999048,170.84358727065077,254
452.16713426853715,-301.4164328657314,-451.406212424855,-232.2082164328657,-780.2032064128391,-207.0,219.19799599198933,170.97683799397544,254
452.53426853707424,-303.7328657314629,-449.38356713426856,-231.59929859719432,-776.0599699398799,-207.0,217.78426853707424,162.88301422067957,254
452.90140280561127,-288.54929859719437,-442.1513026052113,-231.02464929859718,-758.8412825651325,-207.0,211.12665330661412,167.56314093283237,254
453.26853707414836,-301.0,-440.50801603206753,-231.36573146292582,-754.2214428857801,-213.0,209.1422845691417,155.32543313762702,255
453.63567134268544,-300.36432865731456,-436.15360721443176,-231.00761523046015,-743.8725951903891,-213.0,205.1459919839716,152.9758222051566,255
454.0028056112225,-286.1865731462981,-420.9773547094145,-227.21553106215993,-711.6200901802963,-212.99719438877747,193.76182364725457,173.53233182370928,256
454.3699398797596,-306.5489478957991,-435.5410821643328,-230.14884769539063,-743.629433867746,-212.6300601202404,205.39223446894218,156.33760094584392,256
454.73707414829664,-303.26292585170336,-428.87725450902406,-229.76292585170336,-727.548747495005,-212.26292585170336,199.1143286573207,160.97909557301813,256
455.1042084168337,-289.8957915831663,-403.0,-227.89579158316627,-665.6563126252506,-210.0,175.10420841683373,162.80552515899686,257
455.4713426853708,-293.41082164328645,-430.3394789579429,-227.52865731462919,-734.5557114229134,-210.0,202.81082164331372,155.45183121829794,257
455.8384769539079,-284.1615230460921,-419.2757515029996,-227.1615230460921,-707.4470941883608,-210.0,192.11422845690748,164.1553350754617,257
456.20561122244493,-283.5,-403.1469939879738,-225.75701402805618,-669.2319639278503,-209.97194388777535,177.38997995991764,154.0701519849255,258
456.572745490982,-288.49539078156295,-403.86452905811234,-226.21593186372752,-670.3374248496896,-208.13627254508992,177.64859719438482,147.79310721918134,258
456.9398797595191,-261.48997995989885,-367.9958249832951,-226.0601202404809,-580.8993820975164,-206.3006012024045,141.9357047428142,161.10097267226448,258
457.3070140280562,-285.3464929859719,-405.91943887778996,-225.8464929859719,-676.028857715517,-204.0,180.07294589181805,159.8946536083273,258
457.6741482965933,-289.9915831663326,-445.46653306612995,-226.08146292585167,-774.5441382765474,-204.0,219.3850701402783,167.54160681960983,258
458.0412825651303,-287.5,-460.3899799599182,-225.9690380761523,-812.0213927855671,-203.9587174348697,234.42094188376592,188.43780319848238,258
458.4084168336674,-292.55494989979957,-449.63861359081795,-225.69368737474946,-785.5560029149207,-203.5915831663326,223.9449262160685,176.61282506744476,258
458.7755511022045,-289.1402805611222,-436.6593186372764,-225.41833667334663,-753.5207915831711,-203.22444889779553,211.24098196392976,176.70635316014835,258
459.14268537074156,-288.85731462925844,-444.427414829647,-226.0,-772.0685370741174,-203.0,218.42741482964698,178.15494819987882,259
459.50981963927865,-293.3202404809618,-441.4388109552675,-226.0,-764.5970273881687,-203.0,215.4388109552675,174.13191227990507,259
459.8769539078157,-283.0,-450.9170340681386,-226.0,-788.2925851703465,-203.0,224.9170340681386,183.2963648165001,259
460.24408817635276,-292.19485637943154,-418.03186372745165,-227.12204408817638,-704.3965931863645,-209.0,190.90981963927527,160.18873331172165,260
460.61122244488985,-292.5440881763457,-423.663827655292,-227.13877755511015,-718.4514028055647,-209.0,196.52505010018183,157.6890354380536,260
460.97835671342693,-283.48917835671347,-445.81316268901435,-224.82272545090171,-777.2988185461833,-209.0,220.99043723811263,172.28283860470648,260
461.345490981964,-290.8726786907146,-445.35037347422104,-226.2725450901799,-773.9671160502828,-208.65450901803598,219.07782838404114,162.43408172086555,261
461.71262525050105,-289.0,-434.71262525050105,-226.0,-747.7815631262526,-208.28737474949895,208.71262525050105,164.7933388849643,261
462.07975951903813,-283.61442885772647,-417.9362725450802,-225.58897795591207,-706.4572144288325,-209.0,192.34729458916814,165.6603347146452,262
462.4468937875752,-287.5531062124248,-424.399799599186,-225.66482965931857,-722.5022545089871,-209.0,198.73496993986743,158.8016586128939,262
462.8140280561123,-285.6859719438877,-414.7385771543088,-225.1859719438877,-699.0674849699406,-209.0,189.55260521042112,163.6007629248636,262
463.18116232464934,-286.81883767535066,-411.20661322645407,-223.45290581162334,-692.8371743487002,-200.0,187.75370741483073,162.42094881678793,263
463.5482965931864,-287.4517034068136,-424.61442885771896,-223.40340681362716,-726.4309619238567,-200.0,201.2110220440918,161.9726384699897,263
463.9154308617235,-284.0845691382765,-412.8509018036084,-222.66913827655299,-698.1235470941915,-200.0,190.1817635270554,173.5632581901329,263
464.2825651302606,-296.7174348697394,-423.7384769539089,-225.4348697394788,-721.193887775554,-203.62324649298588,198.3036072144301,154.05018683102895,263
464.6496993987977,-294.05090180360696,-438.0314629258499,-225.17515030060116,-757.315931863723,-203.13373413493642,212.85631262524873,154.71394581362483,263
465.0168336673347,-267.82444889780913,-373.7490981963945,-221.49158316633265,-602.1353707414873,-198.0,152.25751503006188,163.75496601233613,263
465.3839679358718,-284.0,-410.7003006011987,-223.0,-692.2507515029968,-198.0,187.7003006011987,152.76600508084277,263
465.7511022044089,-283.0,-421.0843687374833,-223.0,-718.2109218437083,-198.0,198.08436873748332,161.37135799738567,263
466.11823647294597,-280.5578657314628,-377.7209418837806,-222.88176352705403,-609.9797094188705,-201.17568470273872,154.83917835672656,168.35218217092032,264
466.48537074148305,-285.2573146292585,-425.0979959919701,-222.51462925851695,-728.9730460921498,-200.68617234468925,202.58336673345315,166.85371094709058,264
466.8525050100201,-279.71718436873743,-438.6513117143378,-220.1718436873745,-766.3705137547827,-200.1966599866399,218.4794680269633,178.54823294011487,264
467.21963927855717,-287.90981963929187,-433.78036072144283,-223.56072144288567,-749.1098196392786,-200.0,210.21963927855717,166.74938744750906,265
467.58677354709425,-286.91783567133325,-436.3879759519127,-222.8264529058115,-756.7302605210646,-200.0,213.56152304610123,164.07829034624177,265
467.95390781563134,-273.0921843687373,-436.04609218436866,-221.04609218436866,-758.5460921843687,-200.0,215.0,179.07396170435206,265
468.3210420841684,-285.8146292585268,-429.3121242485278,-221.0894789579158,-741.6460921844459,-199.67895791583157,208.22264529061204,163.78827052392987,266
468.68817635270545,-289.90320641282545,-435.17665330660543,-220.71773547094182,-756.8650300601008,-199.31182364729455,214.4589178356636,167.47850559074323,266
469.05531062124254,-278.25250501003836,-440.315187517893,-220.23617234468935,-770.4337102776984,-198.94468937875746,220.07901517320363,175.401402384681,266
469.4224448897796,-283.2887775551102,-436.7370312052676,-220.68316633266528,-760.8178285141711,-198.57755511022037,216.05386487260233,163.25254832227924,266
469.7895791583167,-280.6052104208417,-423.47494989979066,-220.3112892451569,-728.2204408817413,-198.2104208416833,203.16366065463376,166.21622206941225,266
470.1567134268538,-266.9906813627251,-382.51262525051425,-216.96082164328655,-630.8403306613558,-195.8432865731462,165.5518036072277,162.06386583022515,268
470.5238476953908,-277.9543086172368,-424.80949899799595,-216.8690380761523,-736.7201903807614,-195.47615230460917,207.94046092184365,158.24052371739,268
470.8909819639279,-267.28076152303083,-426.445490981964,-216.777254509018,-740.947845691383,-195.1090180360721,209.66823647294598,171.21499550993548,268
