u,median_d,band50_lo,band50_hi,hit_frac
0.0,88.1070481953084,75.17537913425056,101.95404658355046,0.9984313725490196
0.002506265664160401,86.29509386143677,75.22732828912974,101.94481286026081,0.9984313725490196
0.005012531328320802,86.18188534946927,74.31746586520161,101.93557913738498,0.9984313725490196
0.007518796992481203,86.20881029208545,72.95640360415779,101.9263454142575,0.9984313725490196
0.010025062656641603,86.23573523442712,71.59534133065111,101.79846436080793,0.9984313725490196
0.012531328320802004,86.2626601777856,71.55262335648099,100.48821930909124,0.9984313725490196
0.015037593984962405,86.2895851214044,71.61354560858138,99.177974288831,0.9984313725490196
0.017543859649122806,86.31651006346033,71.6744678589907,98.58721240338038,0.9984313725490196
0.020050125313283207,86.3434350063619,71.73539011052837,97.6754463321091,0.9984313725490196
0.022556390977443608,85.68495976807637,71.79631236201227,97.67599827968958,0.9984313725490196
0.02506265664160401,84.35876026027788,71.85723461475668,97.67655022869462,0.9984313725490196
0.02756892230576441,83.15879882787287,71.9181568654332,97.67710217679303,0.9984313725490196
0.03007518796992481,83.19337679625036,71.52089366268568,97.67765412436687,0.9984313725490196
0.03258145363408521,83.22795476554886,70.17778454073328,97.67820607248252,0.9984313725490196
0.03508771929824561,83.26253273481377,69.63764226552772,97.67875802094841,0.9984313725490196
0.03759398496240601,83.29711070361654,69.7043784993665,96.51322803401206,0.9984313725490196
0.040100250626566414,83.33168867234876,69.7711147330911,95.21806105311987,0.9984313725490196
0.042606516290726815,83.36626664108081,69.83785096713464,93.92289404457519,0.9984313725490196
0.045112781954887216,83.40084461091277,69.90458720208545,93.16046677684346,0.9984313725490196
0.047619047619047616,82.14478891738914,69.97132343498195,93.17178996259076,0.9984313725490196
0.05012531328320802,80.83454387951193,70.03805966939399,93.18311314909084,0.9984313725490196
0.05263157894736842,80.25316679912342,69.77056575015183,93.19443633556517,0.9984313725490196
0.05513784461152882,80.29554786023002,68.44436625242392,93.20575952233277,0.9984313725490196
0.05764411027568922,80.33792892060603,67.11816676027689,93.21708270862528,0.9984313725490196
0.06015037593984962,80.38030998082623,67.16224102852489,93.22840589450232,0.9984313725490196
0.06265664160401002,80.42269104229125,67.2365743082701,92.34373727873962,0.9984313725490196
0.06516290726817042,80.46507210372097,67.31090758754613,91.06284219134481,0.9984313725490196
0.06766917293233082,80.50745316352172,67.38524086508846,90.54768647333613,0.9984313725490196
0.07017543859649122,79.67605714266311,67.45957414385053,90.56561985016543,0.9984313725490196
0.07268170426065163,78.38089013411407,67.53390742262573,90.58355322664309,0.9984313725490196
0.07518796992481203,77.71772111848436,67.60824070264061,90.60148660448182,0.9984313725490196
0.07769423558897243,77.76725695424862,66.42184855352271,90.61941998099151,0.9984313725490196
