u,X_warped,Y_warped
0.0,-13581929.37358881,4434053.941445316
0.002506265664160401,-13581928.069456277,4434051.659102898
0.005012531328320802,-13581926.277710859,4434051.00401923
0.007518796992481203,-13581924.445741111,4434050.483171877
0.010025062656641603,-13581922.613771383,4434049.96232453
0.012531328320802004,-13581920.781801684,4434049.441477193
0.015037593984962405,-13581918.949831942,4434048.920629843
0.017543859649122806,-13581917.117862197,4434048.39978249
0.020050125313283207,-13581915.285892466,4434047.878935143
0.022556390977443608,-13581913.650661996,4434046.701530812
0.02506265664160401,-13581912.207097007,4434044.884501559
0.02756892230576441,-13581910.727296237,4434043.188397984
0.03007518796992481,-13581908.893129762,4434042.674881605
0.03258145363408521,-13581907.058963304,4434042.161365234
0.03508771929824561,-13581905.22479683,4434041.647848858
0.03759398496240601,-13581903.390630348,4434041.134332478
0.040100250626566414,-13581901.55646386,4434040.620816097
0.042606516290726815,-13581899.722297404,4434040.107299725
0.045112781954887216,-13581897.888130927,4434039.593783349
0.047619047619047616,-13581896.42443163,4434037.843946089
0.05012531328320802,-13581894.976287024,4434036.042199905
0.05263157894736842,-13581893.31892606,4434034.938649263
0.05513784461152882,-13581891.482519764,4434034.432607607
0.05764411027568922,-13581889.64611345,4434033.926565943
0.06015037593984962,-13581887.809707154,4434033.420524285
0.06265664160401002,-13581885.973300884,4434032.914482637
0.06516290726817042,-13581884.136894574,4434032.408440978
0.06766917293233082,-13581882.30048826,4434031.902399315
0.07017543859649122,-13581880.714893447,4434030.559351093
0.07268170426065163,-13581879.262420809,4434028.772048422
0.07518796992481203,-13581877.628537642,4434027.590147837
0.07769423558897243,-13581875.79007759,4434027.090959857
0.08020050125313283,-13581873.951617582,4434026.591771891
0.08270676691729323,-13581872.113157557,4434026.092583922
0.08521303258145363,-13581870.274697516,4434025.593395945
0.08771929824561403,-13581868.436237501,4434025.094207977
0.09022556390977443,-13581866.597777482,4434024.595020008
0.09273182957393483,-13581865.072617833,4434023.050287928
0.09523809523809523,-13581863.616048506,4434021.276656572
0.09774436090225563,-13581861.915891737,4434020.315923815
0.10025062656641603,-13581860.075341117,4434019.823712665
0.10275689223057644,-13581858.23479046,4434019.3315015035
0.10526315789473684,-13581856.394239796,4434018.839290339
0.10776942355889724,-13581854.553689148,4434018.347079179
0.11027568922305764,-13581852.713138519,4434017.8548680255
0.11278195488721804,-13581850.952803552,4434017.09496162
0.11528822055137844,-13581849.492350893,4434015.334289663
0.11779448621553884,-13581848.031898268,4434013.573617696
0.12030075187969924,-13581846.273473114,4434012.807337894
0.12280701754385964,-13581844.43055506,4434012.3230272345
0.12531328320802004,-13581842.587636998,4434011.838716572
0.12781954887218044,-13581840.744718933,4434011.354405908
0.13032581453634084,-13581838.901800895,4434010.870095252
0.13283208020050125,-13581837.05888284,4434010.385784593
0.13533834586466165,-13581835.433511011,4434009.175479933
0.13784461152882205,-13581833.925447246,4434007.573695599
0.14035087719298245,-13581832.0810857,4434007.094202169
0.14285714285714285,-13581830.23672415,4434006.614708738
0.14536340852130325,-13581828.392362582,4434006.1352153
0.14786967418546365,-13581826.548001032,4434005.655721867
0.15037593984962405,-13581824.703639505,4434005.176228443
0.15288220551378445,-13581822.902356265,4434004.552974295
0.15538847117794485,-13581821.4347136,4434002.816296825
0.15789473684210525,-13581819.96707097,4434001.079619344
0.16040100250626566,-13581818.239947297,4434000.208880383
0.16290726817042606,-13581816.393140469,4433999.737547286
0.16541353383458646,-13581814.546333639,4433999.266214187
0.16791979949874686,-13581812.699526835,4433998.794881097
0.17042606516290726,-13581810.852720015,4433998.323548003
0.17293233082706766,-13581809.00591318,4433997.852214903
0.17543859649122806,-13581807.491608584,4433996.27125743
0.17794486215538846,-13581805.95095759,4433994.778222982
0.18045112781954886,-13581804.102409052,4433994.312702344
0.18295739348370926,-13581802.253860496,4433993.847181699
0.18546365914786966,-13581800.405311959,4433993.381661059
0.18796992481203006,-13581798.556763442,4433992.916140429
0.19047619047619047,-13581796.708214892,4433992.450619788
0.19298245614035087,-13581795.074410636,4433991.268455775
0.19548872180451127,-13581793.600256147,4433989.553509577
0.19799498746867167,-13581792.070854088,4433988.02293529
0.20050125313283207,-13581790.219773274,4433987.56586537
0.20300751879699247,-13581788.368692428,4433987.108795439
0.20551378446115287,-13581786.517611608,4433986.651725515
0.20802005012531327,-13581784.666530801,4433986.194655596
0.21052631578947367,-13581782.81544998,4433985.737585673
0.21303258145363407,-13581781.234264985,4433984.37982101
0.21553884711779447,-13581779.656595226,4433983.01032531
0.21804511278195488,-13581777.80396954,4433982.558410955
0.22055137844611528,-13581775.951343836,4433982.106496596
0.22305764411027568,-13581774.098718122,4433981.65458223
0.22556390977443608,-13581772.24609243,4433981.202667872
0.22807017543859648,-13581770.399063688,4433980.732075387
0.23057644110275688,-13581768.91898391,4433979.036903031
0.23308270676691728,-13581767.438904116,4433977.3417306775
0.23558897243107768,-13581765.644667292,4433976.6949613625
0.23809523809523808,-13581763.789687453,4433976.2509032395
0.24060150375939848,-13581761.934707586,4433975.806845104
0.24310776942355888,-13581760.079727743,4433975.362786976
0.24561403508771928,-13581758.224747911,4433974.918728853
0.24812030075187969,-13581756.651062608,4433973.5359362895
0.2506265664160401,-13581754.963013727,4433972.53479711
0.2531328320802005,-13581753.106706526,4433972.095168633
0.2556390977443609,-13581751.250399344,4433971.655540166
0.2581453634085213,-13581749.394092131,4433971.215911689
0.2606516290726817,-13581747.537784915,4433970.776283208
0.2631578947368421,-13581745.912933871,4433969.564240638
0.2656641604010025,-13581744.427439535,4433967.887137763
0.2681704260651629,-13581742.591283593,4433967.380260651
0.2706766917293233,-13581740.733094139,4433966.946913533
0.2731829573934837,-13581738.874904707,4433966.513566422
0.2756892230576441,-13581737.016715286,4433966.080219317
0.2781954887218045,-13581735.221372103,4433965.437142088
0.2807017543859649,-13581733.733341776,4433963.768502235
0.2832080200501253,-13581731.8843173,4433963.304569855
0.2857142857142857,-13581730.024766026,4433962.875767523
0.2882205513784461,-13581728.165214738,4433962.446965189
0.2907268170426065,-13581726.305663439,4433962.0181628475
0.2932330827067669,-13581724.573491331,4433961.164271508
0.2957393483709273,-13581723.083029823,4433959.503745011
0.2982456140350877,-13581721.254029235,4433958.972989076
0.3007518796992481,-13581719.392824186,4433958.549705608
0.3032581453634085,-13581717.531619154,4433958.126422144
0.3057644110275689,-13581715.670414139,4433957.703138688
0.3082706766917293,-13581713.966639305,4433956.754480084
0.3107769423558897,-13581712.473558731,4433955.102693862
0.3132832080200501,-13581710.610678272,4433954.685001656
0.3157894736842105,-13581708.747797804,4433954.267309447
0.3182957393483709,-13581706.88491733,4433953.849617234
0.3208020050125313,-13581705.022036852,4433953.43192502
0.3233082706766917,-13581703.398374202,4433952.215916603
0.3258145363408521,-13581701.903339686,4433950.570651101
0.3283208020050125,-13581700.304914601,4433949.270419942
0.3308270676691729,-13581698.439192373,4433948.8622112535
0.3333333333333333,-13581696.573470144,4433948.454002564
0.3358395989974937,-13581694.70774791,4433948.045793873
0.3383458646616541,-13581692.866444187,4433947.556095831
0.3408521303258145,-13581691.369256608,4433945.918015528
0.3433583959899749,-13581689.544936573,4433945.371639734
0.3458646616541353,-13581687.677769767,4433944.9682518365
0.3483709273182957,-13581685.810602957,4433944.564863934
0.3508771929824561,-13581683.943436157,4433944.1614760365
0.3533834586466165,-13581682.368769363,4433942.781958942
0.3558897243107769,-13581680.869510887,4433941.150789641
0.3583959899749373,-13581679.370252382,4433939.519620344
0.3609022556390977,-13581677.60018738,4433938.792184924
0.3634085213032581,-13581675.729188496,4433938.401585472
0.3659147869674185,-13581673.858189605,4433938.010986016
0.3684210526315789,-13581671.987190707,4433937.620386558
0.37092731829573933,-13581670.402173664,4433936.275410174
0.37343358395989973,-13581668.85440938,4433934.806114185
0.37593984962406013,-13581666.981300151,4433934.422557325
0.37844611528822053,-13581665.108190915,4433934.039000459
0.38095238095238093,-13581663.235081693,4433933.6554436
0.38345864661654133,-13581661.468629945,4433932.915950054
0.38596491228070173,-13581659.835253416,4433931.732358689
0.38847117794486213,-13581657.960923128,4433931.352876705
0.39097744360902253,-13581656.086592862,4433930.973394728
0.39348370927318294,-13581654.21226259,4433930.593912751
0.39598997493734334,-13581652.567751318,4433929.44748011
0.39849624060150374,-13581650.893353684,4433928.4007841265
0.40100250626566414,-13581649.017481333,4433928.026448383
0.40350877192982454,-13581647.141608972,4433927.652112637
0.40601503759398494,-13581645.265736606,4433927.277776888
0.40852130325814534,-13581643.697800554,4433925.875797925
0.41102756892230574,-13581641.940906946,4433925.104407049
0.41353383458646614,-13581640.063474692,4433924.7352769645
0.41604010025062654,-13581638.18604243,4433924.366146874
0.41854636591478694,-13581636.365692215,4433923.806522974
0.42105263157894735,-13581634.857161436,4433922.206297133
0.42355889724310775,-13581633.320478713,4433920.700019787
0.42606516290726815,-13581631.44019277,4433920.340412975
0.42857142857142855,-13581629.55990684,4433919.980806167
0.43107769423558895,-13581627.679620923,4433919.621199367
0.43358395989974935,-13581626.044328399,4433918.444002023
0.43609022556390975,-13581624.534133647,4433916.849329137
0.43859649122807015,-13581622.80428682,4433915.987677856
0.44110275689223055,-13581620.921086645,4433915.6377964895
0.44360902255639095,-13581619.037886461,4433915.287915123
0.44611528822055135,-13581617.257897276,4433914.593598558
0.44862155388471175,-13581615.746094598,4433913.004291678
0.45112781954887216,-13581613.983472833,4433912.252016754
0.45363408521303256,-13581612.097962879,4433911.909843532
