u,X_warped,Y_warped
0.0,-13581929.508167487,4434053.4923301665
0.002506265664160401,-13581928.014766257,4434051.841614105
0.005012531328320802,-13581926.183013882,4434051.32004141
0.007518796992481203,-13581924.351261485,4434050.798468708
0.010025062656641603,-13581922.51950911,4434050.276896011
0.012531328320802004,-13581920.687756766,4434049.755323324
0.015037593984962405,-13581918.856004378,4434049.233750626
0.017543859649122806,-13581917.024251983,4434048.712177924
0.020050125313283207,-13581915.192499606,4434048.190605228
0.022556390977443608,-13581913.650661996,4434046.701530813
0.02506265664160401,-13581912.207097007,4434044.884501561
0.02756892230576441,-13581910.763531968,4434043.067472323
0.03007518796992481,-13581909.177215919,4434041.726831009
0.03258145363408521,-13581907.342382094,4434041.215541767
0.03508771929824561,-13581905.507548254,4434040.7042525215
0.03759398496240601,-13581903.672714405,4434040.192963271
0.040100250626566414,-13581901.93205185,4434039.367406131
0.042606516290726815,-13581900.096994705,4434038.856862161
0.045112781954887216,-13581898.26193754,4434038.346318188
0.047619047619047616,-13581896.426880358,4434037.835774207
0.05012531328320802,-13581894.976287024,4434036.0421999
0.05263157894736842,-13581893.528142415,4434034.240453716
0.05513784461152882,-13581892.079997798,4434032.438707537
0.05764411027568922,-13581890.631853158,4434030.636961363
0.06015037593984962,-13581889.137861473,4434028.988215741
0.06265664160401002,-13581887.298244637,4434028.492888372
0.06516290726817042,-13581885.458627762,4434027.997560993
0.06766917293233082,-13581883.619010884,4434027.50223361
0.07017543859649122,-13581881.77939402,4434027.006906232
0.07268170426065163,-13581879.939777175,4434026.51157886
0.07518796992481203,-13581878.100160321,4434026.016251488
0.07769423558897243,-13581876.357475463,4434025.197443108
0.08020050125313283,-13581874.905002823,4434023.4101404445
0.08270676691729323,-13581873.452530159,4434021.6228377875
0.08521303258145363,-13581872.00005748,4434019.835535134
0.08771929824561403,-13581870.231407821,4434019.103376466
0.09022556390977443,-13581868.388489772,4434018.619065808
0.09273182957393483,-13581866.545571718,4434018.1347551495
0.09523809523809523,-13581864.702653646,4434017.650444484
0.09774436090225563,-13581862.859735593,4434017.166133824
0.10025062656641603,-13581861.016817562,4434016.681823173
0.10275689223057644,-13581859.246340606,4434015.955762481
0.10526315789473684,-13581857.789771281,4434014.182131129
0.10776942355889724,-13581856.153414432,4434013.008485659
0.11027568922305764,-13581854.308810607,4434012.529800807
0.11278195488721804,-13581852.46420677,4434012.051115955
0.11528822055137844,-13581850.619602902,4434011.57243109
0.11779448621553884,-13581848.77499906,4434011.093746233
