feature_id,label,vertex_index,x,y,group_id
1,shoreline,0,616.0,-116.0,
1,shoreline,1,615.0,-117.0,
1,shoreline,2,612.0,-117.0,
1,shoreline,3,611.0,-118.0,
1,shoreline,4,610.0,-118.0,
1,shoreline,5,605.0,-123.0,
1,shoreline,6,605.0,-124.0,
1,shoreline,7,603.0,-126.0,
1,shoreline,8,603.0,-127.0,
1,shoreline,9,602.0,-128.0,
1,shoreline,10,602.0,-129.0,
1,shoreline,11,601.0,-130.0,
1,shoreline,12,601.0,-131.0,
1,shoreline,13,600.0,-132.0,
1,shoreline,14,600.0,-133.0,
1,shoreline,15,597.0,-136.0,
1,shoreline,16,597.0,-137.0,
1,shoreline,17,596.0,-138.0,
1,shoreline,18,596.0,-142.0,
1,shoreline,19,595.0,-143.0,
1,shoreline,20,595.0,-145.0,
1,shoreline,21,593.0,-147.0,
1,shoreline,22,593.0,-153.0,
1,shoreline,23,594.0,-154.0,
1,shoreline,24,594.0,-156.0,
1,shoreline,25,595.0,-157.0,
1,shoreline,26,595.0,-159.0,
1,shoreline,27,596.0,-160.0,
1,shoreline,28,596.0,-162.0,
1,shoreline,29,599.0,-165.0,
1,shoreline,30,600.0,-165.0,
1,shoreline,31,601.0,-166.0,
1,shoreline,32,601.0,-167.0,
1,shoreline,33,603.0,-169.0,
1,shoreline,34,603.0,-171.0,
1,shoreline,35,604.0,-172.0,
1,shoreline,36,604.0,-173.0,
1,shoreline,37,605.0,-174.0,
1,shoreline,38,605.0,-175.0,
1,shoreline,39,604.0,-176.0,
1,shoreline,40,604.0,-179.0,
1,shoreline,41,605.0,-180.0,
1,shoreline,42,605.0,-182.0,
1,shoreline,43,604.0,-183.0,
1,shoreline,44,604.0,-184.0,
1,shoreline,45,603.0,-185.0,
1,shoreline,46,603.0,-187.0,
1,shoreline,47,602.0,-188.0,
1,shoreline,48,602.0,-193.0,
1,shoreline,49,605.0,-196.0,
1,shoreline,50,605.0,-199.0,
1,shoreline,51,606.0,-200.0,
1,shoreline,52,606.0,-204.0,
1,shoreline,53,609.0,-207.0,
1,shoreline,54,609.0,-208.0,
1,shoreline,55,607.0,-210.0,
1,shoreline,56,606.0,-210.0,
1,shoreline,57,605.0,-211.0,
1,shoreline,58,598.0,-211.0,
1,shoreline,59,597.0,-210.0,
1,shoreline,60,596.0,-211.0,
1,shoreline,61,593.0,-211.0,
1,shoreline,62,592.0,-212.0,
1,shoreline,63,590.0,-212.0,
1,shoreline,64,589.0,-213.0,
1,shoreline,65,589.0,-214.0,
1,shoreline,66,587.0,-216.0,
1,shoreline,67,586.0,-216.0,
1,shoreline,68,585.0,-217.0,
1,shoreline,69,582.0,-217.0,
1,shoreline,70,581.0,-218.0,
1,shoreline,71,579.0,-218.0,
1,shoreline,72,578.0,-219.0,
1,shoreline,73,576.0,-219.0,
1,shoreline,74,574.0,-221.0,
1,shoreline,75,572.0,-221.0,
1,shoreline,76,570.0,-223.0,
1,shoreline,77,570.0,-225.0,
1,shoreline,78,569.0,-226.0,
1,shoreline,79,569.0,-230.0,
1,shoreline,80,567.0,-232.0,
1,shoreline,81,561.0,-232.0,
1,shoreline,82,560.0,-231.0,
1,shoreline,83,558.0,-231.0,
1,shoreline,84,557.0,-230.0,
