x,median,q1,q3,whisker_low,whisker_high,iqr,std,count
557.0,-153.5,-159.0,-148.0,-164.0,-143.0,11.0,5.926530005371959,408
558.4348697394789,-153.34819639278544,-158.0,-149.30410821643295,-164.0,-144.0,8.695891783567049,5.046735460474853,426
559.869739478958,-155.34769539078152,-159.0,-149.05260521042032,-163.13026052104203,-144.86973947895797,9.947394789579675,5.401284170506784,446
561.3046092184369,-156.0,-159.3046092184369,-151.04609218436894,-164.0,-144.6953907815631,8.25851703406795,4.914597328974302,468
562.7394789579158,-156.61322645290568,-160.0,-150.6472945891785,-164.0,-145.0,9.3527054108215,5.20250725213923,479
564.1743486973947,-157.55911823647352,-160.17434869739475,-150.26653306613173,-164.17434869739475,-143.82565130260525,9.90781563126302,5.456800953906613,486
565.6092184368738,-155.64929859719416,-159.6092184368738,-150.8016032064126,-165.0,-144.0,8.807615230461181,5.307980368021521,487
567.0440881763527,-156.04408817635272,-161.04408817635272,-147.66132264529074,-165.0,-142.95591182364728,13.382765531061978,6.679979464406415,495
568.4789579158316,-154.32364729458925,-160.0,-150.05335671342672,-166.0,-143.52104208416836,9.946643286573277,5.742004051534144,496
569.9138276553106,-156.1209084836336,-161.62124248496912,-147.32314629258536,-166.0,-142.90480961923902,14.298096192383753,7.14831422359255,497
571.3486973947896,-154.8356713426857,-159.8750835003342,-148.0,-165.0,-143.0,11.875083500334199,6.213427432714012,497
572.7835671342685,-150.3128256513026,-159.8877755511022,-147.0,-165.78356713426854,-142.21643286573146,12.887775551102209,7.013283777267504,498
574.2184368737475,-150.2224448897794,-160.1943887775558,-145.78156312625254,-166.21843687374746,-140.0,14.412825651303251,7.474710506450571,498
575.6533066132265,-150.9338677354699,-158.0661322645301,-145.3466933867735,-166.0,-139.3466933867735,12.719438877756602,7.190144915626786,499
577.0881763527054,-146.76352705410864,-162.3246492985968,-144.0,-167.0,-139.0,18.324649298596796,8.834461072331907,499
578.5230460921844,-153.02304609218436,-159.24649298597205,-144.0,-167.0,-138.47695390781564,15.246492985972054,8.232888544863716,500
579.9579158316633,-145.04208416833671,-163.95791583166329,-143.0,-167.0,-138.0,20.957915831663286,10.158883101236452,500
