X_warped,Y_warped,Z_m,u,timestamp,clip_name
-553776.039389076,6541330.049674105,-104.0404320000005,0.0,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553776.2033440097,6541329.705029637,-104.0404320000005,0.002506265664160401,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553776.4588055195,6541329.387102368,-104.0404320000005,0.005012531328320802,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553776.8026948109,6541329.094993347,-104.0404320000005,0.007518796992481203,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553777.1196872216,6541328.795031307,-104.0404320000005,0.010025062656641603,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553777.2941369731,6541328.453451054,-104.0404320000005,0.012531328320802004,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553777.5238016888,6541328.127991875,-104.0404320000005,0.015037593984962405,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553777.6810493957,6541327.781388961,-104.0404320000005,0.017543859649122806,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553777.8290906294,6541327.432098108,-104.0404320000005,0.020050125313283207,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.0157953057,6541327.094095936,-104.0404320000005,0.022556390977443608,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.2024999876,6541326.756093681,-104.0404320000005,0.02506265664160401,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.3460146046,6541326.405481106,-104.0404320000005,0.02756892230576441,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.4654381574,6541326.047834726,-104.0404320000005,0.03007518796992481,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.5848616908,6541325.690188424,-104.0404320000005,0.03258145363408521,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
-553778.7042852434,6541325.332542042,-104.0404320000005,0.03508771929824561,2026-02-17 15:43:00+00:00,surfline_trevone_20260217_1543
